,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.8745098039215686,0.84195040371648
1,yelp_polarity_16_100,0.4,8,0.906158357771261,0.8950684324940598
2,yelp_polarity_16_100,0.3,8,0.9054187192118226,0.8528361363472492
3,yelp_polarity_16_100,0.2,8,0.9054187192118226,0.8407475091890071
4,yelp_polarity_16_100_best,0.4,8,0.906158357771261,0.8950684324940598
5,yelp_polarity_16_13,0.5,8,0.7184750733137829,0.8861778080280174
6,yelp_polarity_16_13,0.4,8,0.9372549019607843,0.9541931552436367
7,yelp_polarity_16_13,0.3,8,0.906158357771261,0.9543361213660426
8,yelp_polarity_16_13,0.2,8,0.8435972629521017,0.9236281004513635
9,yelp_polarity_16_13_best,0.4,8,0.9372549019607843,0.9541931552436367
10,yelp_polarity_16_21,0.5,8,0.7810361681329424,0.739414406088611
11,yelp_polarity_16_21,0.4,8,0.9687194525904204,0.9465602915810152
12,yelp_polarity_16_21,0.3,8,0.9687194525904204,0.9038150550976334
13,yelp_polarity_16_21,0.2,8,0.875,0.9026218411314816
14,yelp_polarity_16_21_best,0.4,8,0.9687194525904204,0.9465602915810152
15,yelp_polarity_16_42,0.5,8,0.8745098039215686,0.79742193385886
16,yelp_polarity_16_42,0.4,8,0.875,0.8226226240923105
17,yelp_polarity_16_42,0.3,8,0.906158357771261,0.8049832199009967
18,yelp_polarity_16_42,0.2,8,1.0,0.9227602039004572
19,yelp_polarity_16_42_best,0.2,8,1.0,0.9227602039004572
20,yelp_polarity_16_87,0.5,8,0.9375,0.8370028887042432
21,yelp_polarity_16_87,0.4,8,1.0,0.9536432181615446
22,yelp_polarity_16_87,0.3,8,1.0,0.9466256883279034
23,yelp_polarity_16_87,0.2,8,1.0,0.9299956368471718
24,yelp_polarity_16_87_best,0.4,8,1.0,0.9536432181615446
