,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.9822570890526298,0.6476865802083258
1,dbpedia_14_16_100,0.4,8,0.9820991153059465,0.8021970838164302
2,dbpedia_14_16_100,0.3,8,0.9777577893327418,0.8004645830256255
3,dbpedia_14_16_100,0.2,8,0.9777884394226898,0.7179247169668063
4,dbpedia_14_16_100_best,0.5,8,0.9822570890526298,0.6476865802083258
5,dbpedia_14_16_13,0.5,8,0.9819761555648654,0.806839589994218
6,dbpedia_14_16_13,0.4,8,0.9819761555648652,0.7598447590020245
7,dbpedia_14_16_13,0.3,8,0.9774812197606314,0.7636217501836495
8,dbpedia_14_16_13,0.2,8,0.9730308985764394,0.7570227410222855
9,dbpedia_14_16_13_best,0.5,8,0.9819761555648654,0.806839589994218
10,dbpedia_14_16_21,0.5,8,0.9824964589941548,0.7164391884090398
11,dbpedia_14_16_21,0.4,8,0.9780321732798691,0.6642456996082268
12,dbpedia_14_16_21,0.3,8,0.9821297653958945,0.7152327255613513
13,dbpedia_14_16_21,0.2,8,0.9733285176240586,0.7107921427216839
14,dbpedia_14_16_21_best,0.5,8,0.9824964589941548,0.7164391884090398
15,dbpedia_14_16_42,0.5,8,0.9228413163897036,0.5018681337963925
16,dbpedia_14_16_42,0.4,8,0.9865940511101802,0.5781017615237263
17,dbpedia_14_16_42,0.3,8,0.9865940511101802,0.6513596128212564
18,dbpedia_14_16_42,0.2,8,0.9819717916492109,0.5666799841765133
19,dbpedia_14_16_42_best,0.4,8,0.9865940511101802,0.5781017615237263
20,dbpedia_14_16_87,0.5,8,0.9910627007401202,0.7210028213677078
21,dbpedia_14_16_87,0.4,8,0.9865940511101802,0.7625257261633388
22,dbpedia_14_16_87,0.3,8,0.9819717916492111,0.6457511070153045
23,dbpedia_14_16_87,0.2,8,0.9777840755070358,0.7583898439271136
24,dbpedia_14_16_87_best,0.5,8,0.9910627007401202,0.7210028213677078
