,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.696309412861137,0.27751360718405954
1,emo_16_100,0.4,8,0.7460176055510741,0.2953329703251377
2,emo_16_100,0.3,8,0.622844827586207,0.23214166372587902
3,emo_16_100,0.2,8,0.6132408067891939,0.322682637130512
4,emo_16_100_best,0.4,8,0.7460176055510741,0.2953329703251377
5,emo_16_13,0.5,8,0.7678396871945259,0.31728144680199344
6,emo_16_13,0.4,8,0.8275889828071992,0.15952913094386087
7,emo_16_13,0.3,8,0.7965073529411765,0.25939605443626396
8,emo_16_13,0.2,8,0.7616229485524617,0.3155805176855274
9,emo_16_13_best,0.4,8,0.8275889828071992,0.15952913094386087
10,emo_16_21,0.5,8,0.7772435897435896,0.24419988151508595
11,emo_16_21,0.4,8,0.755944055944056,0.30115703183065123
12,emo_16_21,0.3,8,0.739482021809608,0.1978342006219844
13,emo_16_21,0.2,8,0.7161185432924564,0.1688501839563393
14,emo_16_21_best,0.5,8,0.7772435897435896,0.24419988151508595
15,emo_16_42,0.5,8,0.7123493623493624,0.3019264079820776
16,emo_16_42,0.4,8,0.6986554621848741,0.15732680023994872
17,emo_16_42,0.3,8,0.7034944581280789,0.19191198874383747
18,emo_16_42,0.2,8,0.6810523460476348,0.1770327063155884
19,emo_16_42_best,0.5,8,0.7123493623493624,0.3019264079820776
20,emo_16_87,0.5,8,0.6856803327391564,0.21767468913634216
21,emo_16_87,0.4,8,0.7524480095068331,0.3001122498604652
22,emo_16_87,0.3,8,0.7364182364182364,0.3335801914619996
23,emo_16_87,0.2,8,0.7234546703296704,0.340052250423813
24,emo_16_87_best,0.4,8,0.7524480095068331,0.3001122498604652
