,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9350746268656716
1,ethos-religion_16_100,0.4,8,0.8745098039215686,0.9173789173789174
2,ethos-religion_16_100,0.3,8,0.906158357771261,0.9350746268656716
3,ethos-religion_16_100,0.2,8,0.906158357771261,0.9202273977626995
4,ethos-religion_16_100_best,0.5,8,0.9375,0.9350746268656716
5,ethos-religion_16_13,0.5,8,0.9375,0.8783216783216783
6,ethos-religion_16_13,0.4,8,0.9687194525904204,0.9058441558441558
7,ethos-religion_16_13,0.3,8,0.9687194525904204,0.9521364386576197
8,ethos-religion_16_13,0.2,8,0.9687194525904204,0.9227764956506302
9,ethos-religion_16_13_best,0.4,8,0.9687194525904204,0.9058441558441558
10,ethos-religion_16_21,0.5,8,0.9687194525904204,0.7931385869565217
11,ethos-religion_16_21,0.4,8,0.9375,0.8153469387755102
12,ethos-religion_16_21,0.3,8,0.9375,0.8522418478260869
13,ethos-religion_16_21,0.2,8,0.9375,0.8651162790697674
14,ethos-religion_16_21_best,0.5,8,0.9687194525904204,0.7931385869565217
15,ethos-religion_16_42,0.5,8,0.873015873015873,0.8609976921711344
16,ethos-religion_16_42,0.4,8,0.8745098039215686,0.9202273977626995
17,ethos-religion_16_42,0.3,8,0.873015873015873,0.8783216783216783
18,ethos-religion_16_42,0.2,8,0.8745098039215686,0.9058441558441558
19,ethos-religion_16_42_best,0.4,8,0.8745098039215686,0.9202273977626995
20,ethos-religion_16_87,0.5,8,0.906158357771261,0.7630145278450363
21,ethos-religion_16_87,0.4,8,0.9687194525904204,0.8688222482827945
22,ethos-religion_16_87,0.3,8,0.9687194525904204,0.839671636790082
23,ethos-religion_16_87,0.2,8,0.9687194525904204,0.8950904392764858
24,ethos-religion_16_87_best,0.4,8,0.9687194525904204,0.8688222482827945
