,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_32_100,0.5,8,0.9135091502793777,0.4491504547756205
1,dbpedia_14_32_100,0.4,8,0.9135383299167662,0.6830345225744017
2,dbpedia_14_32_100,0.3,8,0.9155308323010597,0.6187139989217607
3,dbpedia_14_32_100,0.2,8,0.9176876797038087,0.7186109301895724
4,dbpedia_14_32_100_best,0.2,8,0.9176876797038087,0.7186109301895724
5,dbpedia_14_32_13,0.5,8,0.9843621052268914,0.5418127182576914
6,dbpedia_14_32_13,0.4,8,0.9866005985821654,0.8080821498577493
7,dbpedia_14_32_13,0.3,8,0.9866382625311196,0.8099589592010248
8,dbpedia_14_32_13,0.2,8,0.9822324888115607,0.6825707706142472
9,dbpedia_14_32_13_best,0.3,8,0.9866382625311196,0.8099589592010248
10,dbpedia_14_32_21,0.5,8,0.993301936159079,0.7191738595297158
11,dbpedia_14_32_21,0.4,8,0.9865541875846552,0.65255952188843
12,dbpedia_14_32_21,0.3,8,0.9955346241060526,0.683620619244035
13,dbpedia_14_32_21,0.2,8,0.9865695316588174,0.5249533541769031
14,dbpedia_14_32_21_best,0.3,8,0.9955346241060526,0.683620619244035
15,dbpedia_14_32_42,0.5,8,0.9843632481571818,0.6089193490135634
16,dbpedia_14_32_42,0.4,8,0.9932986624230864,0.762686140295472
17,dbpedia_14_32_42,0.3,8,0.9798633505968343,0.565383854589023
18,dbpedia_14_32_42,0.2,8,0.9910992745094127,0.7224243540487788
19,dbpedia_14_32_42_best,0.4,8,0.9932986624230864,0.762686140295472
20,dbpedia_14_32_87,0.5,8,0.9955351691958835,0.717305188968506
21,dbpedia_14_32_87,0.4,8,0.9910659744761128,0.46199259364848566
22,dbpedia_14_32_87,0.3,8,0.993335236192379,0.7212972577176767
23,dbpedia_14_32_87,0.2,8,0.9281074481074482,0.5690874178219678
24,dbpedia_14_32_87_best,0.5,8,0.9955351691958835,0.717305188968506
