,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_32_100,0.5,8,0.7333333333333334,0.7870629370629371
1,ethos-race_32_100,0.4,8,0.7726610317691635,0.7851851851851852
2,ethos-race_32_100,0.3,8,0.7333333333333334,0.7402985074626866
3,ethos-race_32_100,0.2,8,0.7916666666666667,0.7606821932880983
4,ethos-race_32_100_best,0.2,8,0.7916666666666667,0.7606821932880983
5,ethos-race_32_13,0.5,8,0.898989898989899,0.894927536231884
6,ethos-race_32_13,0.4,8,0.8971428571428571,0.8376865671641791
7,ethos-race_32_13,0.3,8,0.8825174825174824,0.805223880597015
8,ethos-race_32_13,0.2,8,0.8971428571428571,0.7583333333333333
9,ethos-race_32_13_best,0.5,8,0.898989898989899,0.894927536231884
10,ethos-race_32_21,0.5,8,0.7644216248867411,0.7082264746498323
11,ethos-race_32_21,0.4,8,0.8792756539235412,0.7606821932880983
12,ethos-race_32_21,0.3,8,0.7643097643097644,0.6253229974160207
13,ethos-race_32_21,0.2,8,0.7963800904977376,0.6233766233766234
14,ethos-race_32_21_best,0.4,8,0.8792756539235412,0.7606821932880983
15,ethos-race_32_42,0.5,8,0.5631528964862298,0.5212142730339073
16,ethos-race_32_42,0.4,8,0.8166157265907196,0.7452196382428941
17,ethos-race_32_42,0.3,8,0.8830409356725146,0.5509834007532431
18,ethos-race_32_42,0.2,8,0.8653198653198653,0.7410714285714286
19,ethos-race_32_42_best,0.3,8,0.8830409356725146,0.5509834007532431
20,ethos-race_32_87,0.5,8,0.7643097643097644,0.7566433566433567
21,ethos-race_32_87,0.4,8,0.7465502675302733,0.7017142857142857
22,ethos-race_32_87,0.3,8,0.8124467178175618,0.7452196382428941
23,ethos-race_32_87,0.2,8,0.7664071190211346,0.7017142857142857
24,ethos-race_32_87_best,0.3,8,0.8124467178175618,0.7452196382428941
