,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_32_100,0.5,8,0.9032258064516129,0.8651162790697674
1,ethos-religion_32_100,0.4,8,0.9191655801825294,0.8744588744588745
2,ethos-religion_32_100,0.3,8,0.9032258064516129,0.8883183568677793
3,ethos-religion_32_100,0.2,8,0.9193338537600833,0.8918870939108823
4,ethos-religion_32_100_best,0.2,8,0.9193338537600833,0.8918870939108823
5,ethos-religion_32_13,0.5,8,0.9676071055381401,0.8883183568677793
6,ethos-religion_32_13,0.4,8,0.9838331160365059,0.8701492537313433
7,ethos-religion_32_13,0.3,8,0.9838331160365059,0.9326625386996904
8,ethos-religion_32_13,0.2,8,0.9838331160365059,0.8783216783216783
9,ethos-religion_32_13_best,0.4,8,0.9838331160365059,0.8701492537313433
10,ethos-religion_32_21,0.5,8,0.9354838709677419,0.9350746268656716
11,ethos-religion_32_21,0.4,8,0.967741935483871,0.9058441558441558
12,ethos-religion_32_21,0.3,8,0.9354166666666667,0.9227764956506302
13,ethos-religion_32_21,0.2,8,0.9516003122560499,0.8783216783216783
14,ethos-religion_32_21_best,0.4,8,0.967741935483871,0.9058441558441558
15,ethos-religion_32_42,0.5,8,0.9516003122560499,0.8918870939108823
16,ethos-religion_32_42,0.4,8,0.9193338537600833,0.8651162790697674
17,ethos-religion_32_42,0.3,8,0.9516003122560499,0.8688222482827945
18,ethos-religion_32_42,0.2,8,0.9354838709677419,0.7805800756620429
19,ethos-religion_32_42_best,0.5,8,0.9516003122560499,0.8918870939108823
20,ethos-religion_32_87,0.5,8,0.9193338537600833,0.9087412587412588
21,ethos-religion_32_87,0.4,8,0.9354166666666667,0.8316129032258064
22,ethos-religion_32_87,0.3,8,0.9193338537600833,0.8918870939108823
23,ethos-religion_32_87,0.2,8,0.9193338537600833,0.8153469387755102
24,ethos-religion_32_87_best,0.4,8,0.9354166666666667,0.8316129032258064
