,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_32_100,0.5,8,0.5933528836754642,0.45344661436124856
1,wiki_qa_32_100,0.4,8,0.5607843137254902,0.3922013263070775
2,wiki_qa_32_100,0.3,8,0.6092796092796093,0.4351629160806376
3,wiki_qa_32_100,0.2,8,0.6000000000000001,0.4353599104650998
4,wiki_qa_32_100_best,0.3,8,0.6092796092796093,0.4351629160806376
5,wiki_qa_32_13,0.5,8,0.625,0.3985915858691179
6,wiki_qa_32_13,0.4,8,0.5873015873015872,0.38531424995140023
7,wiki_qa_32_13,0.3,8,0.6014943960149439,0.4055417621594092
8,wiki_qa_32_13,0.2,8,0.5873015873015872,0.3943240283668219
9,wiki_qa_32_13_best,0.5,8,0.625,0.3985915858691179
10,wiki_qa_32_21,0.5,8,0.7024712503058479,0.4235613641191962
11,wiki_qa_32_21,0.4,8,0.6871945259042034,0.3406981694338016
12,wiki_qa_32_21,0.3,8,0.71875,0.3797081343766172
13,wiki_qa_32_21,0.2,8,0.6476476476476476,0.42491927750063785
14,wiki_qa_32_21_best,0.3,8,0.71875,0.3797081343766172
15,wiki_qa_32_42,0.5,8,0.5866701110824076,0.44764608755584423
16,wiki_qa_32_42,0.4,8,0.625,0.3877454889939731
17,wiki_qa_32_42,0.3,8,0.6549019607843137,0.3808244389858632
18,wiki_qa_32_42,0.2,8,0.6251591545709192,0.4111166086622372
19,wiki_qa_32_42_best,0.3,8,0.6549019607843137,0.3808244389858632
20,wiki_qa_32_87,0.5,8,0.6532019704433498,0.4184698303086445
21,wiki_qa_32_87,0.4,8,0.6698599852616065,0.32073637723672277
22,wiki_qa_32_87,0.3,8,0.6476476476476476,0.3863680505144145
23,wiki_qa_32_87,0.2,8,0.6940880503144655,0.4391187349349481
24,wiki_qa_32_87_best,0.2,8,0.6940880503144655,0.4391187349349481
