,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_64_100,0.5,8,0.96875,0.9570978354978354
1,yelp_polarity_64_100,0.4,8,0.9452824427480916,0.9599991994299608
2,yelp_polarity_64_100,0.3,8,0.9452824427480916,0.9536737871284197
3,yelp_polarity_64_100,0.2,8,0.9609160305343512,0.9478635091059735
4,yelp_polarity_64_100_best,0.5,8,0.96875,0.9570978354978354
5,yelp_polarity_64_13,0.5,8,0.9765610694012086,0.966046273485007
6,yelp_polarity_64_13,0.4,8,0.984375,0.9663129316718351
7,yelp_polarity_64_13,0.3,8,0.9765610694012086,0.959575274254268
8,yelp_polarity_64_13,0.2,8,0.8427904691721935,0.7819794445530033
9,yelp_polarity_64_13_best,0.4,8,0.984375,0.9663129316718351
10,yelp_polarity_64_21,0.5,8,0.9765610694012086,0.9562520914281355
11,yelp_polarity_64_21,0.4,8,0.960935115668681,0.9586693727166319
12,yelp_polarity_64_21,0.3,8,0.984375,0.9563967286869295
13,yelp_polarity_64_21,0.2,8,0.960935115668681,0.9517785089976005
14,yelp_polarity_64_21_best,0.3,8,0.984375,0.9563967286869295
15,yelp_polarity_64_42,0.5,8,0.9687194525904204,0.9572208376918574
16,yelp_polarity_64_42,0.4,8,0.9687194525904204,0.9578885659422114
17,yelp_polarity_64_42,0.3,8,0.9765496183206106,0.9620934790600761
18,yelp_polarity_64_42,0.2,8,0.9687194525904204,0.9540734697391453
19,yelp_polarity_64_42_best,0.3,8,0.9765496183206106,0.9620934790600761
20,yelp_polarity_64_87,0.5,8,0.9843711843711844,0.9608998447236037
21,yelp_polarity_64_87,0.4,8,0.9843711843711844,0.4965900183570768
22,yelp_polarity_64_87,0.3,8,0.9921870231337362,0.9664373966787466
23,yelp_polarity_64_87,0.2,8,0.9921870231337362,0.9693404995673682
24,yelp_polarity_64_87_best,0.3,8,0.9921870231337362,0.9664373966787466
