,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.625,0.24479085186218874
1,tab_fact_16_100,0.4,8,0.5465587044534412,0.13485150806992308
2,tab_fact_16_100,0.3,8,0.5625,0.19551101435467375
3,tab_fact_16_100,0.2,8,0.5076923076923077,0.11592029304996246
4,tab_fact_16_100_best,0.5,8,0.625,0.24479085186218874
5,tab_fact_16_13,0.5,8,0.5901477832512315,0.33307960627715
6,tab_fact_16_13,0.4,8,0.6190476190476191,0.5005355520157524
7,tab_fact_16_13,0.3,8,0.5625,0.49914290581145737
8,tab_fact_16_13,0.2,8,0.5555555555555556,0.4967082829224865
9,tab_fact_16_13_best,0.4,8,0.6190476190476191,0.5005355520157524
10,tab_fact_16_21,0.5,8,0.5195195195195195,0.33260059362799016
11,tab_fact_16_21,0.4,8,0.5625,0.1411531880689041
12,tab_fact_16_21,0.3,8,0.5901477832512315,0.19341851047319594
13,tab_fact_16_21,0.2,8,0.464039408866995,0.22605380269806052
14,tab_fact_16_21_best,0.3,8,0.5901477832512315,0.19341851047319594
15,tab_fact_16_42,0.5,8,0.625,0.4964982179160834
16,tab_fact_16_42,0.4,8,0.625,0.3265683745696268
17,tab_fact_16_42,0.3,8,0.5733333333333335,0.48130217360986594
18,tab_fact_16_42,0.2,8,0.6862745098039216,0.24933343570314598
19,tab_fact_16_42_best,0.2,8,0.6862745098039216,0.24933343570314598
20,tab_fact_16_87,0.5,8,0.5733333333333335,0.4415520198519544
21,tab_fact_16_87,0.4,8,0.5588547189819725,0.30444269057246237
22,tab_fact_16_87,0.3,8,0.5733333333333335,0.47759286797378364
23,tab_fact_16_87,0.2,8,0.6101882613510521,0.44038936904410986
24,tab_fact_16_87_best,0.2,8,0.6101882613510521,0.44038936904410986
