,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.9372549019607843,0.8542523750334834
1,yelp_polarity_16_100,0.4,8,0.9687194525904204,0.8865735949396696
2,yelp_polarity_16_100,0.3,8,0.9054187192118226,0.8725626703976235
3,yelp_polarity_16_100,0.2,8,0.873015873015873,0.8951065485325664
4,yelp_polarity_16_100_best,0.4,8,0.9687194525904204,0.8865735949396696
5,yelp_polarity_16_13,0.5,8,0.906158357771261,0.9624969087219949
6,yelp_polarity_16_13,0.4,8,0.906158357771261,0.9639423118546748
7,yelp_polarity_16_13,0.3,8,0.9372549019607843,0.9630187088864314
8,yelp_polarity_16_13,0.2,8,0.906158357771261,0.9593337403768943
9,yelp_polarity_16_13_best,0.3,8,0.9372549019607843,0.9630187088864314
10,yelp_polarity_16_21,0.5,8,1.0,0.9519143355447828
11,yelp_polarity_16_21,0.4,8,1.0,0.9459519614928193
12,yelp_polarity_16_21,0.3,8,1.0,0.9426503958241578
13,yelp_polarity_16_21,0.2,8,1.0,0.9378515674379506
14,yelp_polarity_16_21_best,0.5,8,1.0,0.9519143355447828
15,yelp_polarity_16_42,0.5,8,1.0,0.9635456733214744
16,yelp_polarity_16_42,0.4,8,1.0,0.9564221021429825
17,yelp_polarity_16_42,0.3,8,1.0,0.96406727109784
18,yelp_polarity_16_42,0.2,8,1.0,0.9640772003610771
19,yelp_polarity_16_42_best,0.5,8,1.0,0.9635456733214744
20,yelp_polarity_16_87,0.5,8,1.0,0.9417170795190569
21,yelp_polarity_16_87,0.4,8,0.9687194525904204,0.9511688028294938
22,yelp_polarity_16_87,0.3,8,0.9687194525904204,0.9397941132711389
23,yelp_polarity_16_87,0.2,8,0.9687194525904204,0.9326909066638516
24,yelp_polarity_16_87_best,0.5,8,1.0,0.9417170795190569
