,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.9687194525904204,0.9054539017364297
1,amazon_polarity_16_100,0.4,8,0.9375,0.871742952679209
2,amazon_polarity_16_100,0.3,8,0.9687194525904204,0.9006302451421739
3,amazon_polarity_16_100,0.2,8,0.9372549019607843,0.9097921611392648
4,amazon_polarity_16_100_best,0.5,8,0.9687194525904204,0.9054539017364297
5,amazon_polarity_16_13,0.5,8,0.9687194525904204,0.9348905510162584
6,amazon_polarity_16_13,0.4,8,0.9375,0.9277894339895135
7,amazon_polarity_16_13,0.3,8,0.9375,0.926778504977557
8,amazon_polarity_16_13,0.2,8,0.9687194525904204,0.9298245614035088
9,amazon_polarity_16_13_best,0.5,8,0.9687194525904204,0.9348905510162584
10,amazon_polarity_16_21,0.5,8,0.875,0.8523371414278698
11,amazon_polarity_16_21,0.4,8,0.906158357771261,0.894999054991495
12,amazon_polarity_16_21,0.3,8,0.8435972629521017,0.8709988389895509
13,amazon_polarity_16_21,0.2,8,0.906158357771261,0.8852657004830917
14,amazon_polarity_16_21_best,0.4,8,0.906158357771261,0.894999054991495
15,amazon_polarity_16_42,0.5,8,0.9375,0.8986935479826476
16,amazon_polarity_16_42,0.4,8,0.906158357771261,0.9029952467670915
17,amazon_polarity_16_42,0.3,8,0.906158357771261,0.8623822338477425
18,amazon_polarity_16_42,0.2,8,0.9687194525904204,0.906
19,amazon_polarity_16_42_best,0.2,8,0.9687194525904204,0.906
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.9129539526409471
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.8839702963958773
22,amazon_polarity_16_87,0.3,8,0.9687194525904204,0.8779042769531312
23,amazon_polarity_16_87,0.2,8,1.0,0.8799956798444744
24,amazon_polarity_16_87_best,0.2,8,1.0,0.8799956798444744
