,prefix,lr,bsz,dev_performance,test_performance
0,ai2_arc_32_100,0.5,8,0.3125,0.2508361204013378
1,ai2_arc_32_100,0.4,8,0.25,0.2909698996655518
2,ai2_arc_32_100,0.3,8,0.25,0.2408026755852843
3,ai2_arc_32_100,0.2,8,0.28125,0.22073578595317725
4,ai2_arc_32_100_best,0.5,8,0.3125,0.2508361204013378
5,ai2_arc_32_13,0.5,8,0.3125,0.23411371237458195
6,ai2_arc_32_13,0.4,8,0.375,0.2709030100334448
7,ai2_arc_32_13,0.3,8,0.3125,0.2040133779264214
8,ai2_arc_32_13,0.2,8,0.375,0.22742474916387959
9,ai2_arc_32_13_best,0.4,8,0.375,0.2709030100334448
10,ai2_arc_32_21,0.5,8,0.375,0.23411371237458195
11,ai2_arc_32_21,0.4,8,0.34375,0.24414715719063546
12,ai2_arc_32_21,0.3,8,0.40625,0.24749163879598662
13,ai2_arc_32_21,0.2,8,0.4375,0.20066889632107024
14,ai2_arc_32_21_best,0.2,8,0.4375,0.20066889632107024
15,ai2_arc_32_42,0.5,8,0.40625,0.17725752508361203
16,ai2_arc_32_42,0.4,8,0.40625,0.20735785953177258
17,ai2_arc_32_42,0.3,8,0.40625,0.1939799331103679
18,ai2_arc_32_42,0.2,8,0.40625,0.19732441471571907
19,ai2_arc_32_42_best,0.5,8,0.40625,0.17725752508361203
20,ai2_arc_32_87,0.5,8,0.25,0.22742474916387959
21,ai2_arc_32_87,0.4,8,0.3125,0.22408026755852842
22,ai2_arc_32_87,0.3,8,0.28125,0.2040133779264214
23,ai2_arc_32_87,0.2,8,0.3125,0.2140468227424749
24,ai2_arc_32_87_best,0.4,8,0.3125,0.22408026755852842
