,prefix,lr,bsz,dev_performance,test_performance
0,hellaswag_32_100,0.5,8,0.40625,0.249
1,hellaswag_32_100,0.4,8,0.40625,0.28
2,hellaswag_32_100,0.3,8,0.3125,0.265
3,hellaswag_32_100,0.2,8,0.40625,0.233
4,hellaswag_32_100_best,0.5,8,0.40625,0.249
5,hellaswag_32_13,0.5,8,0.40625,0.241
6,hellaswag_32_13,0.4,8,0.4375,0.267
7,hellaswag_32_13,0.3,8,0.40625,0.253
8,hellaswag_32_13,0.2,8,0.40625,0.265
9,hellaswag_32_13_best,0.4,8,0.4375,0.267
10,hellaswag_32_21,0.5,8,0.28125,0.237
11,hellaswag_32_21,0.4,8,0.3125,0.252
12,hellaswag_32_21,0.3,8,0.3125,0.278
13,hellaswag_32_21,0.2,8,0.3125,0.255
14,hellaswag_32_21_best,0.4,8,0.3125,0.252
15,hellaswag_32_42,0.5,8,0.40625,0.257
16,hellaswag_32_42,0.4,8,0.40625,0.229
17,hellaswag_32_42,0.3,8,0.4375,0.262
18,hellaswag_32_42,0.2,8,0.40625,0.246
19,hellaswag_32_42_best,0.3,8,0.4375,0.262
20,hellaswag_32_87,0.5,8,0.375,0.26
21,hellaswag_32_87,0.4,8,0.375,0.226
22,hellaswag_32_87,0.3,8,0.4375,0.245
23,hellaswag_32_87,0.2,8,0.4375,0.227
24,hellaswag_32_87_best,0.3,8,0.4375,0.245
