,prefix,lr,bsz,dev_performance,test_performance
0,qasc_32_100,0.5,8,0.1875,0.10151187904967603
1,qasc_32_100,0.4,8,0.21875,0.10367170626349892
2,qasc_32_100,0.3,8,0.21875,0.11663066954643629
3,qasc_32_100,0.2,8,0.25,0.11447084233261338
4,qasc_32_100_best,0.2,8,0.25,0.11447084233261338
5,qasc_32_13,0.5,8,0.25,0.10475161987041037
6,qasc_32_13,0.4,8,0.25,0.11987041036717062
7,qasc_32_13,0.3,8,0.28125,0.10367170626349892
8,qasc_32_13,0.2,8,0.21875,0.132829373650108
9,qasc_32_13_best,0.3,8,0.28125,0.10367170626349892
10,qasc_32_21,0.5,8,0.28125,0.12526997840172785
11,qasc_32_21,0.4,8,0.28125,0.12203023758099352
12,qasc_32_21,0.3,8,0.3125,0.1263498920086393
13,qasc_32_21,0.2,8,0.25,0.132829373650108
14,qasc_32_21_best,0.3,8,0.3125,0.1263498920086393
15,qasc_32_42,0.5,8,0.25,0.11555075593952484
16,qasc_32_42,0.4,8,0.21875,0.1306695464362851
17,qasc_32_42,0.3,8,0.1875,0.10907127429805616
18,qasc_32_42,0.2,8,0.25,0.12526997840172785
19,qasc_32_42_best,0.5,8,0.25,0.11555075593952484
20,qasc_32_87,0.5,8,0.125,0.12311015118790497
21,qasc_32_87,0.4,8,0.125,0.12958963282937366
22,qasc_32_87,0.3,8,0.15625,0.09935205183585313
23,qasc_32_87,0.2,8,0.1875,0.1306695464362851
24,qasc_32_87_best,0.2,8,0.1875,0.1306695464362851
