,prefix,lr,bsz,dev_performance,test_performance
0,wino_grande_32_100,0.5,8,0.53125,0.502
1,wino_grande_32_100,0.4,8,0.53125,0.5
2,wino_grande_32_100,0.3,8,0.65625,0.511
3,wino_grande_32_100,0.2,8,0.53125,0.495
4,wino_grande_32_100_best,0.3,8,0.65625,0.511
5,wino_grande_32_13,0.5,8,0.625,0.503
6,wino_grande_32_13,0.4,8,0.65625,0.489
7,wino_grande_32_13,0.3,8,0.6875,0.491
8,wino_grande_32_13,0.2,8,0.625,0.51
9,wino_grande_32_13_best,0.3,8,0.6875,0.491
10,wino_grande_32_21,0.5,8,0.625,0.494
11,wino_grande_32_21,0.4,8,0.625,0.49
12,wino_grande_32_21,0.3,8,0.6875,0.499
13,wino_grande_32_21,0.2,8,0.6875,0.493
14,wino_grande_32_21_best,0.3,8,0.6875,0.499
15,wino_grande_32_42,0.5,8,0.8125,0.481
16,wino_grande_32_42,0.4,8,0.75,0.479
17,wino_grande_32_42,0.3,8,0.78125,0.49
18,wino_grande_32_42,0.2,8,0.71875,0.491
19,wino_grande_32_42_best,0.5,8,0.8125,0.481
20,wino_grande_32_87,0.5,8,0.59375,0.501
21,wino_grande_32_87,0.4,8,0.59375,0.485
22,wino_grande_32_87,0.3,8,0.59375,0.494
23,wino_grande_32_87,0.2,8,0.625,0.51
24,wino_grande_32_87_best,0.2,8,0.625,0.51
