,prefix,lr,bsz,dev_performance,test_performance
0,wiqa_32_100,0.5,8,0.46875,0.354
1,wiqa_32_100,0.4,8,0.5,0.401
2,wiqa_32_100,0.3,8,0.53125,0.349
3,wiqa_32_100,0.2,8,0.4375,0.359
4,wiqa_32_100_best,0.3,8,0.53125,0.349
5,wiqa_32_13,0.5,8,0.53125,0.348
6,wiqa_32_13,0.4,8,0.5,0.358
7,wiqa_32_13,0.3,8,0.5,0.348
8,wiqa_32_13,0.2,8,0.5,0.346
9,wiqa_32_13_best,0.5,8,0.53125,0.348
10,wiqa_32_21,0.5,8,0.5,0.371
11,wiqa_32_21,0.4,8,0.4375,0.359
12,wiqa_32_21,0.3,8,0.4375,0.312
13,wiqa_32_21,0.2,8,0.4375,0.391
14,wiqa_32_21_best,0.5,8,0.5,0.371
15,wiqa_32_42,0.5,8,0.40625,0.344
16,wiqa_32_42,0.4,8,0.4375,0.37
17,wiqa_32_42,0.3,8,0.40625,0.321
18,wiqa_32_42,0.2,8,0.4375,0.35
19,wiqa_32_42_best,0.4,8,0.4375,0.37
20,wiqa_32_87,0.5,8,0.46875,0.372
21,wiqa_32_87,0.4,8,0.53125,0.392
22,wiqa_32_87,0.3,8,0.4375,0.376
23,wiqa_32_87,0.2,8,0.4375,0.407
24,wiqa_32_87_best,0.4,8,0.53125,0.392
