,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,1.0,0.9158218790961675
1,amazon_polarity_16_100,0.4,8,1.0,0.8999855979261013
2,amazon_polarity_16_100,0.3,8,0.9687194525904204,0.8871259029927763
3,amazon_polarity_16_100,0.2,8,0.9372549019607843,0.8901686867903158
4,amazon_polarity_16_100_best,0.5,8,1.0,0.9158218790961675
5,amazon_polarity_16_13,0.5,8,0.9687194525904204,0.9529864130733783
6,amazon_polarity_16_13,0.4,8,0.9375,0.9218872051241993
7,amazon_polarity_16_13,0.3,8,0.9372549019607843,0.9065288117399812
8,amazon_polarity_16_13,0.2,8,0.9372549019607843,0.8932101825098429
9,amazon_polarity_16_13_best,0.5,8,0.9687194525904204,0.9529864130733783
10,amazon_polarity_16_21,0.5,8,0.875,0.8747975557251847
11,amazon_polarity_16_21,0.4,8,0.906158357771261,0.9189006533002928
12,amazon_polarity_16_21,0.3,8,0.9372549019607843,0.9098958395905666
13,amazon_polarity_16_21,0.2,8,0.9687194525904204,0.8725681760258261
14,amazon_polarity_16_21_best,0.2,8,0.9687194525904204,0.8725681760258261
15,amazon_polarity_16_42,0.5,8,0.9687194525904204,0.9059544819692731
16,amazon_polarity_16_42,0.4,8,0.9687194525904204,0.9066968580919407
17,amazon_polarity_16_42,0.3,8,0.906158357771261,0.8947472882390619
18,amazon_polarity_16_42,0.2,8,0.9687194525904204,0.8905928961666361
19,amazon_polarity_16_42_best,0.5,8,0.9687194525904204,0.9059544819692731
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.9299596567622952
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.920903106305224
22,amazon_polarity_16_87,0.3,8,0.9687194525904204,0.931993199319932
23,amazon_polarity_16_87,0.2,8,0.9687194525904204,0.9239951356886841
24,amazon_polarity_16_87_best,0.5,8,0.9687194525904204,0.9299596567622952
