,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,1.0,0.9519969278033794
1,amazon_polarity_16_100,0.4,8,1.0,0.957999831999328
2,amazon_polarity_16_100,0.3,8,1.0,0.9549999549999549
3,amazon_polarity_16_100,0.2,8,1.0,0.9539970558115719
4,amazon_polarity_16_100_best,0.5,8,1.0,0.9519969278033794
5,amazon_polarity_16_13,0.5,8,1.0,0.9339323467230445
6,amazon_polarity_16_13,0.4,8,0.9687194525904204,0.9298245614035088
7,amazon_polarity_16_13,0.3,8,0.9687194525904204,0.9399384970209494
8,amazon_polarity_16_13,0.2,8,0.9687194525904204,0.9399132347109226
9,amazon_polarity_16_13_best,0.5,8,1.0,0.9339323467230445
10,amazon_polarity_16_21,0.5,8,0.9372549019607843,0.9309054095056133
11,amazon_polarity_16_21,0.4,8,0.9372549019607843,0.9329178243348101
12,amazon_polarity_16_21,0.3,8,0.9372549019607843,0.9329178243348101
13,amazon_polarity_16_21,0.2,8,0.9372549019607843,0.9308838156941819
14,amazon_polarity_16_21_best,0.5,8,0.9372549019607843,0.9309054095056133
15,amazon_polarity_16_42,0.5,8,0.9687194525904204,0.947994799479948
16,amazon_polarity_16_42,0.4,8,0.9687194525904204,0.9509889725188168
17,amazon_polarity_16_42,0.3,8,0.9687194525904204,0.9519930870045286
18,amazon_polarity_16_42,0.2,8,0.9687194525904204,0.9579957995799581
19,amazon_polarity_16_42_best,0.5,8,0.9687194525904204,0.947994799479948
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.9459997839991361
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.94
22,amazon_polarity_16_87,0.3,8,0.9687194525904204,0.941994199419942
23,amazon_polarity_16_87,0.2,8,0.9687194525904204,0.9439999999999998
24,amazon_polarity_16_87_best,0.5,8,0.9687194525904204,0.9459997839991361
