,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.604328466397432,0.05054024087006097
1,anli_16_100,0.4,8,0.5394103304853811,0.0342731326666814
2,anli_16_100,0.3,8,0.6182588118071989,0.02519391848998024
3,anli_16_100,0.2,8,0.5555555555555556,0.0226781307191778
4,anli_16_100_best,0.3,8,0.6182588118071989,0.02519391848998024
5,anli_16_13,0.5,8,0.48816639299397924,0.10972508987559153
6,anli_16_13,0.4,8,0.4440993788819876,0.08884384395147467
7,anli_16_13,0.3,8,0.40060606060606063,0.06266631664325245
8,anli_16_13,0.2,8,0.5013227513227513,0.1214512958986361
9,anli_16_13_best,0.2,8,0.5013227513227513,0.1214512958986361
10,anli_16_21,0.5,8,0.500171998624011,0.1130107212599549
11,anli_16_21,0.4,8,0.509024309024309,0.16911731498755847
12,anli_16_21,0.3,8,0.3750404379743686,0.07085965836615306
13,anli_16_21,0.2,8,0.4523809523809524,0.09517862963394905
14,anli_16_21_best,0.4,8,0.509024309024309,0.16911731498755847
15,anli_16_42,0.5,8,0.46778025775793797,0.035246346696150226
16,anli_16_42,0.4,8,0.42668382668382665,0.046668780235106136
17,anli_16_42,0.3,8,0.4984126984126984,0.03093003253553226
18,anli_16_42,0.2,8,0.46933797909407665,0.042926203422687895
19,anli_16_42_best,0.3,8,0.4984126984126984,0.03093003253553226
20,anli_16_87,0.5,8,0.41842556842556844,0.027707535357765493
21,anli_16_87,0.4,8,0.4583333333333333,0.02592356307466402
22,anli_16_87,0.3,8,0.5005705986098142,0.03144875110135225
23,anli_16_87,0.2,8,0.42687931951089847,0.039088959584274
24,anli_16_87_best,0.3,8,0.5005705986098142,0.03144875110135225
