,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.906158357771261,0.5972222222222222
1,ethos-race_16_100,0.4,8,0.873015873015873,0.6045454545454546
2,ethos-race_16_100,0.3,8,0.8435972629521017,0.3887425938117182
3,ethos-race_16_100,0.2,8,0.906158357771261,0.38217338217338215
4,ethos-race_16_100_best,0.5,8,0.906158357771261,0.5972222222222222
5,ethos-race_16_13,0.5,8,0.7810361681329424,0.4827586206896552
6,ethos-race_16_13,0.4,8,0.8095238095238095,0.4568965517241379
7,ethos-race_16_13,0.3,8,0.8117647058823529,0.5077614971710431
8,ethos-race_16_13,0.2,8,0.7184750733137829,0.45625
9,ethos-race_16_13_best,0.3,8,0.8117647058823529,0.5077614971710431
10,ethos-race_16_21,0.5,8,0.7184750733137829,0.655297157622739
11,ethos-race_16_21,0.4,8,0.7184750733137829,0.6255380200860832
12,ethos-race_16_21,0.3,8,0.75,0.693661971830986
13,ethos-race_16_21,0.2,8,0.7757757757757757,0.7082264746498323
14,ethos-race_16_21_best,0.2,8,0.7757757757757757,0.7082264746498323
15,ethos-race_16_42,0.5,8,0.6267232237539766,0.615828804347826
16,ethos-race_16_42,0.4,8,0.6476476476476476,0.6529914529914531
17,ethos-race_16_42,0.3,8,0.7490196078431373,0.5684523809523809
18,ethos-race_16_42,0.2,8,0.6862745098039216,0.655297157622739
19,ethos-race_16_42_best,0.3,8,0.7490196078431373,0.5684523809523809
20,ethos-race_16_87,0.5,8,0.5835835835835835,0.5145863223338116
21,ethos-race_16_87,0.4,8,0.5733333333333335,0.5166666666666667
22,ethos-race_16_87,0.3,8,0.6190476190476191,0.5145863223338116
23,ethos-race_16_87,0.2,8,0.6666666666666667,0.47091844690472473
24,ethos-race_16_87_best,0.2,8,0.6666666666666667,0.47091844690472473
