,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9026119402985076
1,ethos-religion_16_100,0.4,8,0.9372549019607843,0.9521364386576197
2,ethos-religion_16_100,0.3,8,0.906158357771261,0.9350746268656716
3,ethos-religion_16_100,0.2,8,0.9375,0.9675373134328358
4,ethos-religion_16_100_best,0.5,8,0.9375,0.9026119402985076
5,ethos-religion_16_13,0.5,8,0.9054187192118226,0.6094276094276094
6,ethos-religion_16_13,0.4,8,0.9687194525904204,0.8651162790697674
7,ethos-religion_16_13,0.3,8,0.9372549019607843,0.8437551020408163
8,ethos-religion_16_13,0.2,8,0.9375,0.9087412587412588
9,ethos-religion_16_13_best,0.4,8,0.9687194525904204,0.8651162790697674
10,ethos-religion_16_21,0.5,8,0.8745098039215686,0.8153469387755102
11,ethos-religion_16_21,0.4,8,0.9054187192118226,0.7986111111111112
12,ethos-religion_16_21,0.3,8,0.9372549019607843,0.736682808716707
13,ethos-religion_16_21,0.2,8,0.906158357771261,0.6896551724137931
14,ethos-religion_16_21_best,0.3,8,0.9372549019607843,0.736682808716707
15,ethos-religion_16_42,0.5,8,0.9687194525904204,0.8651162790697674
16,ethos-religion_16_42,0.4,8,0.9687194525904204,0.8651162790697674
17,ethos-religion_16_42,0.3,8,0.906158357771261,0.8744588744588745
18,ethos-religion_16_42,0.2,8,0.9687194525904204,0.835142118863049
19,ethos-religion_16_42_best,0.5,8,0.9687194525904204,0.8651162790697674
20,ethos-religion_16_87,0.5,8,0.7490196078431373,0.5703703703703704
21,ethos-religion_16_87,0.4,8,0.746031746031746,0.6120689655172414
22,ethos-religion_16_87,0.3,8,0.746031746031746,0.6337127709340402
23,ethos-religion_16_87,0.2,8,0.875,0.7642276422764227
24,ethos-religion_16_87_best,0.2,8,0.875,0.7642276422764227
