,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.71875,0.5714285714285714
1,superglue-cb_16_100,0.4,8,0.6875,0.6071428571428571
2,superglue-cb_16_100,0.3,8,0.71875,0.5714285714285714
3,superglue-cb_16_100,0.2,8,0.6875,0.5178571428571429
4,superglue-cb_16_100_best,0.5,8,0.71875,0.5714285714285714
5,superglue-cb_16_13,0.5,8,0.65625,0.6607142857142857
6,superglue-cb_16_13,0.4,8,0.65625,0.625
7,superglue-cb_16_13,0.3,8,0.59375,0.625
8,superglue-cb_16_13,0.2,8,0.59375,0.5892857142857143
9,superglue-cb_16_13_best,0.5,8,0.65625,0.6607142857142857
10,superglue-cb_16_21,0.5,8,0.875,0.6964285714285714
11,superglue-cb_16_21,0.4,8,0.875,0.6785714285714286
12,superglue-cb_16_21,0.3,8,0.90625,0.7321428571428571
13,superglue-cb_16_21,0.2,8,0.84375,0.6607142857142857
14,superglue-cb_16_21_best,0.3,8,0.90625,0.7321428571428571
15,superglue-cb_16_42,0.5,8,0.6875,0.6964285714285714
16,superglue-cb_16_42,0.4,8,0.6875,0.6428571428571429
17,superglue-cb_16_42,0.3,8,0.625,0.6428571428571429
18,superglue-cb_16_42,0.2,8,0.59375,0.5714285714285714
19,superglue-cb_16_42_best,0.5,8,0.6875,0.6964285714285714
20,superglue-cb_16_87,0.5,8,0.6875,0.6964285714285714
21,superglue-cb_16_87,0.4,8,0.78125,0.6785714285714286
22,superglue-cb_16_87,0.3,8,0.75,0.7142857142857143
23,superglue-cb_16_87,0.2,8,0.65625,0.6428571428571429
24,superglue-cb_16_87_best,0.4,8,0.78125,0.6785714285714286
