,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.6190476190476191,0.5002307057630372
1,tab_fact_16_100,0.4,8,0.6113360323886641,0.14291106938969625
2,tab_fact_16_100,0.3,8,0.5607843137254902,0.024412848280023037
3,tab_fact_16_100,0.2,8,0.5901477832512315,0.4973035216178051
4,tab_fact_16_100_best,0.5,8,0.6190476190476191,0.5002307057630372
5,tab_fact_16_13,0.5,8,0.5607843137254902,0.03631554073543552
6,tab_fact_16_13,0.4,8,0.5901477832512315,0.025809668952421948
7,tab_fact_16_13,0.3,8,0.43529411764705883,0.020468604723796406
8,tab_fact_16_13,0.2,8,0.5733333333333335,0.01213447794389054
9,tab_fact_16_13_best,0.4,8,0.5901477832512315,0.025809668952421948
10,tab_fact_16_21,0.5,8,0.6235294117647059,0.5003670989468604
11,tab_fact_16_21,0.4,8,0.6862745098039216,0.19661123973423747
12,tab_fact_16_21,0.3,8,0.6559139784946237,0.5031254538972443
13,tab_fact_16_21,0.2,8,0.6862745098039216,0.4916976972767918
14,tab_fact_16_21_best,0.4,8,0.6862745098039216,0.19661123973423747
15,tab_fact_16_42,0.5,8,0.6559139784946237,0.08212286192132802
16,tab_fact_16_42,0.4,8,0.5307917888563051,0.1424084758817074
17,tab_fact_16_42,0.3,8,0.6825396825396826,0.31037065906398315
18,tab_fact_16_42,0.2,8,0.6532019704433498,0.11699623181463481
19,tab_fact_16_42_best,0.3,8,0.6825396825396826,0.31037065906398315
20,tab_fact_16_87,0.5,8,0.6476476476476476,0.03996316810947802
21,tab_fact_16_87,0.4,8,0.6190476190476191,0.16891365922479618
22,tab_fact_16_87,0.3,8,0.5933528836754642,0.04681746734278659
23,tab_fact_16_87,0.2,8,0.6000000000000001,0.16509513249177174
24,tab_fact_16_87_best,0.5,8,0.6476476476476476,0.03996316810947802
