,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_128_100,0.5,8,0.9804684519722286,0.9489627938767361
1,amazon_polarity_128_100,0.4,8,0.9843740462674724,0.956996516717854
2,amazon_polarity_128_100,0.3,8,0.984375,0.9549869912404685
3,amazon_polarity_128_100,0.2,8,0.9804660674225891,0.9559654769339161
4,amazon_polarity_128_100_best,0.3,8,0.984375,0.9549869912404685
5,amazon_polarity_128_13,0.5,8,0.9374961850698895,0.9379282450512791
6,amazon_polarity_128_13,0.4,8,0.9374847374847375,0.9479831465394788
7,amazon_polarity_128_13,0.3,8,0.9413838897284426,0.9449400397032368
8,amazon_polarity_128_13,0.2,8,0.9335440621802802,0.9549801462444938
9,amazon_polarity_128_13_best,0.3,8,0.9413838897284426,0.9449400397032368
10,amazon_polarity_128_21,0.5,8,0.9765610694012086,0.9459738513440505
11,amazon_polarity_128_21,0.4,8,0.9726558327611201,0.9509917176002745
12,amazon_polarity_128_21,0.3,8,0.9804684519722286,0.9519982719377897
13,amazon_polarity_128_21,0.2,8,0.9726524943916248,0.953988220984572
14,amazon_polarity_128_21_best,0.3,8,0.9804684519722286,0.9519982719377897
15,amazon_polarity_128_42,0.5,8,0.9882810711833371,0.9469668542839274
16,amazon_polarity_128_42,0.4,8,0.984375,0.9549977948919497
17,amazon_polarity_128_42,0.3,8,0.9921875,0.9579917663862116
18,amazon_polarity_128_42,0.2,8,0.9882810711833371,0.9529864130733783
19,amazon_polarity_128_42_best,0.3,8,0.9921875,0.9579917663862116
20,amazon_polarity_128_87,0.5,8,0.953125,0.9489885224175438
21,amazon_polarity_128_87,0.4,8,0.960927960927961,0.9539992639882238
22,amazon_polarity_128_87,0.3,8,0.960935115668681,0.9559786936877449
23,amazon_polarity_128_87,0.2,8,0.9648303338370655,0.9559971838197645
24,amazon_polarity_128_87_best,0.2,8,0.9648303338370655,0.9559971838197645
