,prefix,lr,bsz,dev_performance,test_performance
0,emo_128_100,0.5,8,0.8279109887761489,0.5010874728782588
1,emo_128_100,0.4,8,0.8376488296903009,0.5723030567251561
2,emo_128_100,0.3,8,0.8395306558410531,0.5419824776104694
3,emo_128_100,0.2,8,0.8196182827526111,0.5305255302019225
4,emo_128_100_best,0.3,8,0.8395306558410531,0.5419824776104694
5,emo_128_13,0.5,8,0.8252916206428779,0.5379385876283808
6,emo_128_13,0.4,8,0.8222672080211967,0.5192184666434065
7,emo_128_13,0.3,8,0.8206530090013132,0.3983133331351907
8,emo_128_13,0.2,8,0.8159259158351678,0.393188729963987
9,emo_128_13_best,0.5,8,0.8252916206428779,0.5379385876283808
10,emo_128_21,0.5,8,0.8316234879569766,0.5029089977559735
11,emo_128_21,0.4,8,0.8398720773529971,0.42231961611640284
12,emo_128_21,0.3,8,0.8102322087866823,0.4951859808098729
13,emo_128_21,0.2,8,0.7995644024093078,0.39452591864445424
14,emo_128_21_best,0.4,8,0.8398720773529971,0.42231961611640284
15,emo_128_42,0.5,8,0.8739279884162385,0.49328116544509915
16,emo_128_42,0.4,8,0.8609242589984294,0.36549119475603287
17,emo_128_42,0.3,8,0.8618252640162752,0.48866285758541406
18,emo_128_42,0.2,8,0.8592819201878004,0.3766421023276127
19,emo_128_42_best,0.5,8,0.8739279884162385,0.49328116544509915
20,emo_128_87,0.5,8,0.8371780845587529,0.5311267495616843
21,emo_128_87,0.4,8,0.8355655548119709,0.5018816493968474
22,emo_128_87,0.3,8,0.8359979419252058,0.49475650739209714
23,emo_128_87,0.2,8,0.8301742310950955,0.495476826102514
24,emo_128_87_best,0.5,8,0.8371780845587529,0.5311267495616843
