,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_128_100,0.5,8,0.7983870967741935,0.7678571428571429
1,superglue-cb_128_100,0.4,8,0.782258064516129,0.7321428571428571
2,superglue-cb_128_100,0.3,8,0.7338709677419355,0.6964285714285714
3,superglue-cb_128_100,0.2,8,0.6290322580645161,0.6428571428571429
4,superglue-cb_128_100_best,0.5,8,0.7983870967741935,0.7678571428571429
5,superglue-cb_128_13,0.5,8,0.8467741935483871,0.7142857142857143
6,superglue-cb_128_13,0.4,8,0.6774193548387096,0.6607142857142857
7,superglue-cb_128_13,0.3,8,0.7580645161290323,0.7321428571428571
8,superglue-cb_128_13,0.2,8,0.6451612903225806,0.6428571428571429
9,superglue-cb_128_13_best,0.5,8,0.8467741935483871,0.7142857142857143
10,superglue-cb_128_21,0.5,8,0.7016129032258065,0.6785714285714286
11,superglue-cb_128_21,0.4,8,0.7661290322580645,0.7678571428571429
12,superglue-cb_128_21,0.3,8,0.6774193548387096,0.6607142857142857
13,superglue-cb_128_21,0.2,8,0.6854838709677419,0.6428571428571429
14,superglue-cb_128_21_best,0.4,8,0.7661290322580645,0.7678571428571429
15,superglue-cb_128_42,0.5,8,0.7580645161290323,0.7678571428571429
16,superglue-cb_128_42,0.4,8,0.6290322580645161,0.6428571428571429
17,superglue-cb_128_42,0.3,8,0.7580645161290323,0.75
18,superglue-cb_128_42,0.2,8,0.6129032258064516,0.6071428571428571
19,superglue-cb_128_42_best,0.5,8,0.7580645161290323,0.7678571428571429
20,superglue-cb_128_87,0.5,8,0.7258064516129032,0.6428571428571429
21,superglue-cb_128_87,0.4,8,0.7258064516129032,0.7142857142857143
22,superglue-cb_128_87,0.3,8,0.6774193548387096,0.5892857142857143
23,superglue-cb_128_87,0.2,8,0.6935483870967742,0.6785714285714286
24,superglue-cb_128_87_best,0.5,8,0.7258064516129032,0.6428571428571429
