,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_32_100,0.5,8,0.9332591768631813,0.8116883116883117
1,ethos-race_32_100,0.4,8,0.8833009169213671,0.7931385869565217
2,ethos-race_32_100,0.3,8,0.8666666666666666,0.7262237762237762
3,ethos-race_32_100,0.2,8,0.7757976430008624,0.7643188854489165
4,ethos-race_32_100_best,0.5,8,0.9332591768631813,0.8116883116883117
5,ethos-race_32_13,0.5,8,0.6811188811188811,0.6969814241486068
6,ethos-race_32_13,0.4,8,0.6606334841628959,0.5972222222222222
7,ethos-race_32_13,0.3,8,0.6571428571428571,0.5953488372093023
8,ethos-race_32_13,0.2,8,0.6789636722050126,0.5190149103702463
9,ethos-race_32_13_best,0.5,8,0.6811188811188811,0.6969814241486068
10,ethos-race_32_21,0.5,8,0.8141368628555337,0.7566433566433567
11,ethos-race_32_21,0.4,8,0.8316498316498316,0.7943262411347518
12,ethos-race_32_21,0.3,8,0.7482517482517482,0.707563025210084
13,ethos-race_32_21,0.2,8,0.8303167420814479,0.7402985074626866
14,ethos-race_32_21_best,0.4,8,0.8316498316498316,0.7943262411347518
15,ethos-race_32_42,0.5,8,0.6499027507641011,0.5512159174649963
16,ethos-race_32_42,0.4,8,0.6662958843159066,0.49992630803242455
17,ethos-race_32_42,0.3,8,0.6165601555987774,0.5972222222222222
18,ethos-race_32_42,0.2,8,0.6333333333333334,0.5786924939467312
19,ethos-race_32_42_best,0.4,8,0.6662958843159066,0.49992630803242455
20,ethos-race_32_87,0.5,8,0.7624434389140271,0.5829930765134033
21,ethos-race_32_87,0.4,8,0.7465502675302733,0.6011369888134971
22,ethos-race_32_87,0.3,8,0.7285067873303168,0.5606060606060607
23,ethos-race_32_87,0.2,8,0.7146853146853147,0.6011369888134971
24,ethos-race_32_87_best,0.5,8,0.7624434389140271,0.5829930765134033
