,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_64_100,0.5,8,0.7104957515740571,0.4346488657945087
1,wiki_qa_64_100,0.4,8,0.703052503052503,0.48750205866670143
2,wiki_qa_64_100,0.3,8,0.6871945259042034,0.49741980849784123
3,wiki_qa_64_100,0.2,8,0.6874236874236874,0.457223850343922
4,wiki_qa_64_100_best,0.5,8,0.7104957515740571,0.4346488657945087
5,wiki_qa_64_13,0.5,8,0.7343101343101344,0.42446866182603615
6,wiki_qa_64_13,0.4,8,0.7333333333333334,0.3977804162302851
7,wiki_qa_64_13,0.3,8,0.7409065816107465,0.4120389697797393
8,wiki_qa_64_13,0.2,8,0.7184750733137829,0.412420614078489
9,wiki_qa_64_13_best,0.3,8,0.7409065816107465,0.4120389697797393
10,wiki_qa_64_21,0.5,8,0.7576793893129771,0.43773262411841285
11,wiki_qa_64_21,0.4,8,0.7576793893129771,0.4244861276719918
12,wiki_qa_64_21,0.3,8,0.7019607843137254,0.4186082047963183
13,wiki_qa_64_21,0.2,8,0.7484647506755098,0.4715294611902634
14,wiki_qa_64_21_best,0.5,8,0.7576793893129771,0.43773262411841285
15,wiki_qa_64_42,0.5,8,0.6855809383443872,0.40920881971465634
16,wiki_qa_64_42,0.4,8,0.6689655172413793,0.42683440638796066
17,wiki_qa_64_42,0.3,8,0.6855809383443872,0.4136795537169695
18,wiki_qa_64_42,0.2,8,0.7013018914271678,0.4476790334605096
19,wiki_qa_64_42_best,0.2,8,0.7013018914271678,0.4476790334605096
20,wiki_qa_64_87,0.5,8,0.715344699777613,0.44662748504146316
21,wiki_qa_64_87,0.4,8,0.7087868167004857,0.35337770646476974
22,wiki_qa_64_87,0.3,8,0.6903488668194551,0.4245679567752285
23,wiki_qa_64_87,0.2,8,0.6851466414380321,0.4301961498800711
24,wiki_qa_64_87_best,0.5,8,0.715344699777613,0.44662748504146316
