,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9326625386996904
1,ethos-religion_16_100,0.4,8,0.906158357771261,0.9504273504273504
2,ethos-religion_16_100,0.3,8,0.9375,0.9326625386996904
3,ethos-religion_16_100,0.2,8,0.875,0.8883183568677793
4,ethos-religion_16_100_best,0.5,8,0.9375,0.9326625386996904
5,ethos-religion_16_13,0.5,8,0.9687194525904204,0.9227764956506302
6,ethos-religion_16_13,0.4,8,0.9687194525904204,0.8688222482827945
7,ethos-religion_16_13,0.3,8,0.9687194525904204,0.9026119402985076
8,ethos-religion_16_13,0.2,8,0.9687194525904204,0.8744588744588745
9,ethos-religion_16_13_best,0.5,8,0.9687194525904204,0.9227764956506302
10,ethos-religion_16_21,0.5,8,0.9375,0.7919655667144907
11,ethos-religion_16_21,0.4,8,0.9375,0.8153469387755102
12,ethos-religion_16_21,0.3,8,0.9375,0.736682808716707
13,ethos-religion_16_21,0.2,8,0.9375,0.8651162790697674
14,ethos-religion_16_21_best,0.5,8,0.9375,0.7919655667144907
15,ethos-religion_16_42,0.5,8,0.8745098039215686,0.8883183568677793
16,ethos-religion_16_42,0.4,8,0.9054187192118226,0.8651162790697674
17,ethos-religion_16_42,0.3,8,0.9054187192118226,0.8883183568677793
18,ethos-religion_16_42,0.2,8,0.906158357771261,0.9058441558441558
19,ethos-religion_16_42_best,0.2,8,0.906158357771261,0.9058441558441558
20,ethos-religion_16_87,0.5,8,0.873015873015873,0.839671636790082
21,ethos-religion_16_87,0.4,8,0.9687194525904204,0.8197034911525586
22,ethos-religion_16_87,0.3,8,0.9687194525904204,0.8437551020408163
23,ethos-religion_16_87,0.2,8,0.9375,0.8197034911525586
24,ethos-religion_16_87_best,0.4,8,0.9687194525904204,0.8197034911525586
