,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,1.0,0.9519992319877117
1,amazon_polarity_16_100,0.4,8,1.0,0.9549977948919497
2,amazon_polarity_16_100,0.3,8,1.0,0.9549945543410753
3,amazon_polarity_16_100,0.2,8,1.0,0.9589996309966791
4,amazon_polarity_16_100_best,0.5,8,1.0,0.9519992319877117
5,amazon_polarity_16_13,0.5,8,0.9687194525904204,0.9308599914827526
6,amazon_polarity_16_13,0.4,8,0.9687194525904204,0.9328758875160172
7,amazon_polarity_16_13,0.3,8,0.9687194525904204,0.9358974358974359
8,amazon_polarity_16_13,0.2,8,0.9687194525904204,0.9389334985799536
9,amazon_polarity_16_13_best,0.5,8,0.9687194525904204,0.9308599914827526
10,amazon_polarity_16_21,0.5,8,0.9372549019607843,0.9499661771357438
11,amazon_polarity_16_21,0.4,8,0.9372549019607843,0.9449537060668021
12,amazon_polarity_16_21,0.3,8,0.9372549019607843,0.9429378593288091
13,amazon_polarity_16_21,0.2,8,0.9372549019607843,0.9459576307825335
14,amazon_polarity_16_21_best,0.5,8,0.9372549019607843,0.9499661771357438
15,amazon_polarity_16_42,0.5,8,0.9687194525904204,0.9509917176002745
16,amazon_polarity_16_42,0.4,8,0.9687194525904204,0.9479748198127894
17,amazon_polarity_16_42,0.3,8,0.9375,0.9369136347659947
18,amazon_polarity_16_42,0.2,8,0.9687194525904204,0.9419477529776799
19,amazon_polarity_16_42_best,0.5,8,0.9687194525904204,0.9509917176002745
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.9419719144065728
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.9439856603290442
22,amazon_polarity_16_87,0.3,8,0.9687194525904204,0.9479898060019764
23,amazon_polarity_16_87,0.2,8,0.9687194525904204,0.9469935862239331
24,amazon_polarity_16_87_best,0.5,8,0.9687194525904204,0.9419719144065728
