,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.6875,0.7142857142857143
1,superglue-cb_16_100,0.4,8,0.6875,0.6964285714285714
2,superglue-cb_16_100,0.3,8,0.71875,0.7142857142857143
3,superglue-cb_16_100,0.2,8,0.625,0.6785714285714286
4,superglue-cb_16_100_best,0.3,8,0.71875,0.7142857142857143
5,superglue-cb_16_13,0.5,8,0.71875,0.7321428571428571
6,superglue-cb_16_13,0.4,8,0.71875,0.75
7,superglue-cb_16_13,0.3,8,0.75,0.7321428571428571
8,superglue-cb_16_13,0.2,8,0.71875,0.6964285714285714
9,superglue-cb_16_13_best,0.3,8,0.75,0.7321428571428571
10,superglue-cb_16_21,0.5,8,0.875,0.7321428571428571
11,superglue-cb_16_21,0.4,8,0.84375,0.7678571428571429
12,superglue-cb_16_21,0.3,8,0.875,0.7321428571428571
13,superglue-cb_16_21,0.2,8,0.9375,0.75
14,superglue-cb_16_21_best,0.2,8,0.9375,0.75
15,superglue-cb_16_42,0.5,8,0.75,0.7321428571428571
16,superglue-cb_16_42,0.4,8,0.8125,0.7678571428571429
17,superglue-cb_16_42,0.3,8,0.78125,0.6964285714285714
18,superglue-cb_16_42,0.2,8,0.75,0.6071428571428571
19,superglue-cb_16_42_best,0.4,8,0.8125,0.7678571428571429
20,superglue-cb_16_87,0.5,8,0.84375,0.75
21,superglue-cb_16_87,0.4,8,0.8125,0.8035714285714286
22,superglue-cb_16_87,0.3,8,0.8125,0.7678571428571429
23,superglue-cb_16_87,0.2,8,0.8125,0.7678571428571429
24,superglue-cb_16_87_best,0.5,8,0.84375,0.75
