,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.5933528836754642,0.03566391595807765
1,tab_fact_16_100,0.4,8,0.5465587044534412,0.03548360588527638
2,tab_fact_16_100,0.3,8,0.5307917888563051,0.020231883351780344
3,tab_fact_16_100,0.2,8,0.5933528836754642,0.02748887974940924
4,tab_fact_16_100_best,0.5,8,0.5933528836754642,0.03566391595807765
5,tab_fact_16_13,0.5,8,0.4375,0.024851808970725555
6,tab_fact_16_13,0.4,8,0.4682306940371457,0.03803245037513846
7,tab_fact_16_13,0.3,8,0.4554554554554554,0.03271662192942571
8,tab_fact_16_13,0.2,8,0.4920634920634921,0.031603542548328124
9,tab_fact_16_13_best,0.2,8,0.4920634920634921,0.031603542548328124
10,tab_fact_16_21,0.5,8,0.4009852216748768,0.053381976746648525
11,tab_fact_16_21,0.4,8,0.4589371980676329,0.055035808668200334
12,tab_fact_16_21,0.3,8,0.3454545454545454,0.06976719406960888
13,tab_fact_16_21,0.2,8,0.3552492046659597,0.043413677683353497
14,tab_fact_16_21_best,0.4,8,0.4589371980676329,0.055035808668200334
15,tab_fact_16_42,0.5,8,0.5625,0.0800982055097633
16,tab_fact_16_42,0.4,8,0.5307917888563051,0.021826481703279554
17,tab_fact_16_42,0.3,8,0.5625,0.025251641308716342
18,tab_fact_16_42,0.2,8,0.5933528836754642,0.021711281351517
19,tab_fact_16_42_best,0.2,8,0.5933528836754642,0.021711281351517
20,tab_fact_16_87,0.5,8,0.4375,0.04255545052159469
21,tab_fact_16_87,0.4,8,0.4666666666666667,0.04814489986100566
22,tab_fact_16_87,0.3,8,0.4458874458874459,0.031505603514618036
23,tab_fact_16_87,0.2,8,0.4554554554554554,0.02923501677616116
24,tab_fact_16_87_best,0.4,8,0.4666666666666667,0.04814489986100566
