,prefix,lr,bsz,dev_performance,test_performance
0,cosmos_qa_32_100,0.5,8,0.34375,0.249
1,cosmos_qa_32_100,0.4,8,0.3125,0.259
2,cosmos_qa_32_100,0.3,8,0.34375,0.266
3,cosmos_qa_32_100,0.2,8,0.34375,0.247
4,cosmos_qa_32_100_best,0.5,8,0.34375,0.249
5,cosmos_qa_32_13,0.5,8,0.1875,0.21
6,cosmos_qa_32_13,0.4,8,0.25,0.222
7,cosmos_qa_32_13,0.3,8,0.25,0.216
8,cosmos_qa_32_13,0.2,8,0.25,0.221
9,cosmos_qa_32_13_best,0.4,8,0.25,0.222
10,cosmos_qa_32_21,0.5,8,0.21875,0.301
11,cosmos_qa_32_21,0.4,8,0.34375,0.222
12,cosmos_qa_32_21,0.3,8,0.3125,0.245
13,cosmos_qa_32_21,0.2,8,0.25,0.252
14,cosmos_qa_32_21_best,0.4,8,0.34375,0.222
15,cosmos_qa_32_42,0.5,8,0.375,0.31
16,cosmos_qa_32_42,0.4,8,0.46875,0.297
17,cosmos_qa_32_42,0.3,8,0.34375,0.265
18,cosmos_qa_32_42,0.2,8,0.40625,0.277
19,cosmos_qa_32_42_best,0.4,8,0.46875,0.297
20,cosmos_qa_32_87,0.5,8,0.28125,0.273
21,cosmos_qa_32_87,0.4,8,0.3125,0.286
22,cosmos_qa_32_87,0.3,8,0.25,0.332
23,cosmos_qa_32_87,0.2,8,0.25,0.294
24,cosmos_qa_32_87_best,0.4,8,0.3125,0.286
