,prefix,lr,bsz,dev_performance,test_performance
0,dream_32_100,0.5,8,0.40625,0.309
1,dream_32_100,0.4,8,0.46875,0.299
2,dream_32_100,0.3,8,0.4375,0.328
3,dream_32_100,0.2,8,0.4375,0.306
4,dream_32_100_best,0.4,8,0.46875,0.299
5,dream_32_13,0.5,8,0.375,0.307
6,dream_32_13,0.4,8,0.375,0.325
7,dream_32_13,0.3,8,0.34375,0.309
8,dream_32_13,0.2,8,0.375,0.299
9,dream_32_13_best,0.5,8,0.375,0.307
10,dream_32_21,0.5,8,0.375,0.359
11,dream_32_21,0.4,8,0.4375,0.338
12,dream_32_21,0.3,8,0.4375,0.323
13,dream_32_21,0.2,8,0.46875,0.326
14,dream_32_21_best,0.2,8,0.46875,0.326
15,dream_32_42,0.5,8,0.34375,0.311
16,dream_32_42,0.4,8,0.375,0.299
17,dream_32_42,0.3,8,0.375,0.313
18,dream_32_42,0.2,8,0.40625,0.309
19,dream_32_42_best,0.2,8,0.40625,0.309
20,dream_32_87,0.5,8,0.375,0.338
21,dream_32_87,0.4,8,0.3125,0.305
22,dream_32_87,0.3,8,0.375,0.317
23,dream_32_87,0.2,8,0.375,0.305
24,dream_32_87_best,0.5,8,0.375,0.338
