,prefix,lr,bsz,dev_performance,test_performance
0,openbookqa_32_100,0.5,8,0.375,0.3
1,openbookqa_32_100,0.4,8,0.34375,0.262
2,openbookqa_32_100,0.3,8,0.34375,0.262
3,openbookqa_32_100,0.2,8,0.34375,0.272
4,openbookqa_32_100_best,0.5,8,0.375,0.3
5,openbookqa_32_13,0.5,8,0.46875,0.254
6,openbookqa_32_13,0.4,8,0.5,0.262
7,openbookqa_32_13,0.3,8,0.46875,0.294
8,openbookqa_32_13,0.2,8,0.4375,0.254
9,openbookqa_32_13_best,0.4,8,0.5,0.262
10,openbookqa_32_21,0.5,8,0.28125,0.24
11,openbookqa_32_21,0.4,8,0.3125,0.29
12,openbookqa_32_21,0.3,8,0.3125,0.25
13,openbookqa_32_21,0.2,8,0.4375,0.262
14,openbookqa_32_21_best,0.2,8,0.4375,0.262
15,openbookqa_32_42,0.5,8,0.3125,0.31
16,openbookqa_32_42,0.4,8,0.28125,0.288
17,openbookqa_32_42,0.3,8,0.375,0.272
18,openbookqa_32_42,0.2,8,0.28125,0.318
19,openbookqa_32_42_best,0.3,8,0.375,0.272
20,openbookqa_32_87,0.5,8,0.4375,0.268
21,openbookqa_32_87,0.4,8,0.375,0.304
22,openbookqa_32_87,0.3,8,0.46875,0.278
23,openbookqa_32_87,0.2,8,0.46875,0.286
24,openbookqa_32_87_best,0.3,8,0.46875,0.278
