,prefix,lr,bsz,dev_performance,test_performance
0,quail_32_100,0.5,8,0.3125,0.26
1,quail_32_100,0.4,8,0.28125,0.272
2,quail_32_100,0.3,8,0.28125,0.281
3,quail_32_100,0.2,8,0.28125,0.234
4,quail_32_100_best,0.5,8,0.3125,0.26
5,quail_32_13,0.5,8,0.21875,0.209
6,quail_32_13,0.4,8,0.375,0.275
7,quail_32_13,0.3,8,0.25,0.255
8,quail_32_13,0.2,8,0.3125,0.272
9,quail_32_13_best,0.4,8,0.375,0.275
10,quail_32_21,0.5,8,0.3125,0.234
11,quail_32_21,0.4,8,0.28125,0.231
12,quail_32_21,0.3,8,0.21875,0.25
13,quail_32_21,0.2,8,0.25,0.238
14,quail_32_21_best,0.5,8,0.3125,0.234
15,quail_32_42,0.5,8,0.40625,0.268
16,quail_32_42,0.4,8,0.46875,0.262
17,quail_32_42,0.3,8,0.40625,0.251
18,quail_32_42,0.2,8,0.4375,0.278
19,quail_32_42_best,0.4,8,0.46875,0.262
20,quail_32_87,0.5,8,0.59375,0.285
21,quail_32_87,0.4,8,0.46875,0.299
22,quail_32_87,0.3,8,0.5,0.274
23,quail_32_87,0.2,8,0.46875,0.283
24,quail_32_87_best,0.5,8,0.59375,0.285
