,prefix,lr,bsz,dev_performance,test_performance
0,quarel_32_100,0.5,8,0.625,0.49280575539568344
1,quarel_32_100,0.4,8,0.6875,0.4856115107913669
2,quarel_32_100,0.3,8,0.65625,0.49280575539568344
3,quarel_32_100,0.2,8,0.65625,0.5071942446043165
4,quarel_32_100_best,0.4,8,0.6875,0.4856115107913669
5,quarel_32_13,0.5,8,0.53125,0.5071942446043165
6,quarel_32_13,0.4,8,0.53125,0.5251798561151079
7,quarel_32_13,0.3,8,0.53125,0.49640287769784175
8,quarel_32_13,0.2,8,0.5625,0.5143884892086331
9,quarel_32_13_best,0.2,8,0.5625,0.5143884892086331
10,quarel_32_21,0.5,8,0.53125,0.44244604316546765
11,quarel_32_21,0.4,8,0.53125,0.4316546762589928
12,quarel_32_21,0.3,8,0.53125,0.43884892086330934
13,quarel_32_21,0.2,8,0.4375,0.4568345323741007
14,quarel_32_21_best,0.5,8,0.53125,0.44244604316546765
15,quarel_32_42,0.5,8,0.5,0.39928057553956836
16,quarel_32_42,0.4,8,0.5625,0.3669064748201439
17,quarel_32_42,0.3,8,0.65625,0.3776978417266187
18,quarel_32_42,0.2,8,0.5625,0.4172661870503597
19,quarel_32_42_best,0.3,8,0.65625,0.3776978417266187
20,quarel_32_87,0.5,8,0.5,0.4568345323741007
21,quarel_32_87,0.4,8,0.59375,0.42805755395683454
22,quarel_32_87,0.3,8,0.59375,0.44244604316546765
23,quarel_32_87,0.2,8,0.59375,0.5
24,quarel_32_87_best,0.4,8,0.59375,0.42805755395683454
