,prefix,lr,bsz,dev_performance,test_performance
0,quartz-no_knowledge_32_100,0.5,8,0.65625,0.4192708333333333
1,quartz-no_knowledge_32_100,0.4,8,0.65625,0.484375
2,quartz-no_knowledge_32_100,0.3,8,0.65625,0.4869791666666667
3,quartz-no_knowledge_32_100,0.2,8,0.65625,0.4661458333333333
4,quartz-no_knowledge_32_100_best,0.5,8,0.65625,0.4192708333333333
5,quartz-no_knowledge_32_13,0.5,8,0.65625,0.4661458333333333
6,quartz-no_knowledge_32_13,0.4,8,0.625,0.4583333333333333
7,quartz-no_knowledge_32_13,0.3,8,0.625,0.4401041666666667
8,quartz-no_knowledge_32_13,0.2,8,0.59375,0.4635416666666667
9,quartz-no_knowledge_32_13_best,0.5,8,0.65625,0.4661458333333333
10,quartz-no_knowledge_32_21,0.5,8,0.59375,0.4765625
11,quartz-no_knowledge_32_21,0.4,8,0.5625,0.4791666666666667
12,quartz-no_knowledge_32_21,0.3,8,0.53125,0.4791666666666667
13,quartz-no_knowledge_32_21,0.2,8,0.5,0.4713541666666667
14,quartz-no_knowledge_32_21_best,0.5,8,0.59375,0.4765625
15,quartz-no_knowledge_32_42,0.5,8,0.59375,0.484375
16,quartz-no_knowledge_32_42,0.4,8,0.5625,0.484375
17,quartz-no_knowledge_32_42,0.3,8,0.59375,0.4947916666666667
18,quartz-no_knowledge_32_42,0.2,8,0.625,0.4869791666666667
19,quartz-no_knowledge_32_42_best,0.2,8,0.625,0.4869791666666667
20,quartz-no_knowledge_32_87,0.5,8,0.5,0.4869791666666667
21,quartz-no_knowledge_32_87,0.4,8,0.53125,0.4921875
22,quartz-no_knowledge_32_87,0.3,8,0.5625,0.5
23,quartz-no_knowledge_32_87,0.2,8,0.59375,0.484375
24,quartz-no_knowledge_32_87_best,0.2,8,0.59375,0.484375
