,prefix,lr,bsz,dev_performance,test_performance
0,quartz-with_knowledge_32_100,0.5,8,0.65625,0.4505208333333333
1,quartz-with_knowledge_32_100,0.4,8,0.625,0.4765625
2,quartz-with_knowledge_32_100,0.3,8,0.65625,0.4557291666666667
3,quartz-with_knowledge_32_100,0.2,8,0.6875,0.4635416666666667
4,quartz-with_knowledge_32_100_best,0.2,8,0.6875,0.4635416666666667
5,quartz-with_knowledge_32_13,0.5,8,0.65625,0.484375
6,quartz-with_knowledge_32_13,0.4,8,0.5625,0.4817708333333333
7,quartz-with_knowledge_32_13,0.3,8,0.59375,0.4895833333333333
8,quartz-with_knowledge_32_13,0.2,8,0.59375,0.484375
9,quartz-with_knowledge_32_13_best,0.5,8,0.65625,0.484375
10,quartz-with_knowledge_32_21,0.5,8,0.625,0.4765625
11,quartz-with_knowledge_32_21,0.4,8,0.5,0.4791666666666667
12,quartz-with_knowledge_32_21,0.3,8,0.53125,0.4505208333333333
13,quartz-with_knowledge_32_21,0.2,8,0.5625,0.4557291666666667
14,quartz-with_knowledge_32_21_best,0.5,8,0.625,0.4765625
15,quartz-with_knowledge_32_42,0.5,8,0.59375,0.4635416666666667
16,quartz-with_knowledge_32_42,0.4,8,0.59375,0.4713541666666667
17,quartz-with_knowledge_32_42,0.3,8,0.5,0.4791666666666667
18,quartz-with_knowledge_32_42,0.2,8,0.53125,0.4791666666666667
19,quartz-with_knowledge_32_42_best,0.5,8,0.59375,0.4635416666666667
20,quartz-with_knowledge_32_87,0.5,8,0.65625,0.5
21,quartz-with_knowledge_32_87,0.4,8,0.5625,0.5052083333333334
22,quartz-with_knowledge_32_87,0.3,8,0.625,0.5052083333333334
23,quartz-with_knowledge_32_87,0.2,8,0.59375,0.4869791666666667
24,quartz-with_knowledge_32_87_best,0.5,8,0.65625,0.5
