,prefix,lr,bsz,dev_performance,test_performance
0,sciq_32_100,0.5,8,0.75,0.7440811724915445
1,sciq_32_100,0.4,8,0.8125,0.7846674182638106
2,sciq_32_100,0.3,8,0.75,0.7598647125140925
3,sciq_32_100,0.2,8,0.84375,0.7542277339346111
4,sciq_32_100_best,0.2,8,0.84375,0.7542277339346111
5,sciq_32_13,0.5,8,0.90625,0.8049605411499436
6,sciq_32_13,0.4,8,0.875,0.7790304396843292
7,sciq_32_13,0.3,8,0.875,0.8049605411499436
8,sciq_32_13,0.2,8,0.84375,0.826381059751973
9,sciq_32_13_best,0.5,8,0.90625,0.8049605411499436
10,sciq_32_21,0.5,8,0.9375,0.85456595264938
11,sciq_32_21,0.4,8,0.9375,0.8004509582863585
12,sciq_32_21,0.3,8,0.90625,0.7970687711386697
13,sciq_32_21,0.2,8,0.9375,0.8297632468996617
14,sciq_32_21_best,0.5,8,0.9375,0.85456595264938
15,sciq_32_42,0.5,8,0.78125,0.7711386696730552
16,sciq_32_42,0.4,8,0.8125,0.7666290868094702
17,sciq_32_42,0.3,8,0.90625,0.8072153325817362
18,sciq_32_42,0.2,8,0.8125,0.7531003382187148
19,sciq_32_42_best,0.3,8,0.90625,0.8072153325817362
20,sciq_32_87,0.5,8,0.90625,0.8658399098083427
21,sciq_32_87,0.4,8,0.9375,0.8726042841037204
22,sciq_32_87,0.3,8,0.96875,0.8523111612175873
23,sciq_32_87,0.2,8,0.9375,0.8252536640360767
24,sciq_32_87_best,0.3,8,0.96875,0.8523111612175873
