,prefix,lr,bsz,dev_performance,test_performance
0,superglue-copa_32_100,0.5,8,0.5625,0.48
1,superglue-copa_32_100,0.4,8,0.59375,0.42
2,superglue-copa_32_100,0.3,8,0.53125,0.44
3,superglue-copa_32_100,0.2,8,0.625,0.45
4,superglue-copa_32_100_best,0.2,8,0.625,0.45
5,superglue-copa_32_13,0.5,8,0.6875,0.54
6,superglue-copa_32_13,0.4,8,0.71875,0.55
7,superglue-copa_32_13,0.3,8,0.6875,0.53
8,superglue-copa_32_13,0.2,8,0.6875,0.56
9,superglue-copa_32_13_best,0.4,8,0.71875,0.55
10,superglue-copa_32_21,0.5,8,0.5625,0.48
11,superglue-copa_32_21,0.4,8,0.53125,0.49
12,superglue-copa_32_21,0.3,8,0.5625,0.47
13,superglue-copa_32_21,0.2,8,0.5625,0.5
14,superglue-copa_32_21_best,0.5,8,0.5625,0.48
15,superglue-copa_32_42,0.5,8,0.5625,0.45
16,superglue-copa_32_42,0.4,8,0.59375,0.53
17,superglue-copa_32_42,0.3,8,0.5625,0.46
18,superglue-copa_32_42,0.2,8,0.5625,0.49
19,superglue-copa_32_42_best,0.4,8,0.59375,0.53
20,superglue-copa_32_87,0.5,8,0.53125,0.48
21,superglue-copa_32_87,0.4,8,0.625,0.52
22,superglue-copa_32_87,0.3,8,0.53125,0.44
23,superglue-copa_32_87,0.2,8,0.53125,0.51
24,superglue-copa_32_87_best,0.4,8,0.625,0.52
