,prefix,lr,bsz,dev_performance,test_performance
0,swag_32_100,0.5,8,0.34375,0.256
1,swag_32_100,0.4,8,0.40625,0.221
2,swag_32_100,0.3,8,0.40625,0.215
3,swag_32_100,0.2,8,0.28125,0.241
4,swag_32_100_best,0.4,8,0.40625,0.221
5,swag_32_13,0.5,8,0.375,0.254
6,swag_32_13,0.4,8,0.40625,0.249
7,swag_32_13,0.3,8,0.375,0.241
8,swag_32_13,0.2,8,0.40625,0.298
9,swag_32_13_best,0.4,8,0.40625,0.249
10,swag_32_21,0.5,8,0.375,0.277
11,swag_32_21,0.4,8,0.40625,0.27
12,swag_32_21,0.3,8,0.46875,0.267
13,swag_32_21,0.2,8,0.4375,0.244
14,swag_32_21_best,0.3,8,0.46875,0.267
15,swag_32_42,0.5,8,0.5,0.272
16,swag_32_42,0.4,8,0.40625,0.247
17,swag_32_42,0.3,8,0.375,0.284
18,swag_32_42,0.2,8,0.34375,0.27
19,swag_32_42_best,0.5,8,0.5,0.272
20,swag_32_87,0.5,8,0.40625,0.258
21,swag_32_87,0.4,8,0.40625,0.263
22,swag_32_87,0.3,8,0.375,0.245
23,swag_32_87,0.2,8,0.375,0.255
24,swag_32_87_best,0.5,8,0.40625,0.258
