,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9202273977626995
1,ethos-religion_16_100,0.4,8,0.9375,0.8918870939108823
2,ethos-religion_16_100,0.3,8,0.9687194525904204,0.9058441558441558
3,ethos-religion_16_100,0.2,8,0.9687194525904204,0.9350746268656716
4,ethos-religion_16_100_best,0.3,8,0.9687194525904204,0.9058441558441558
5,ethos-religion_16_13,0.5,8,0.9687194525904204,0.8817934782608696
6,ethos-religion_16_13,0.4,8,0.9687194525904204,0.8918870939108823
7,ethos-religion_16_13,0.3,8,0.9687194525904204,0.9227764956506302
8,ethos-religion_16_13,0.2,8,0.9687194525904204,0.9058441558441558
9,ethos-religion_16_13_best,0.5,8,0.9687194525904204,0.8817934782608696
10,ethos-religion_16_21,0.5,8,0.9375,0.7919655667144907
11,ethos-religion_16_21,0.4,8,0.9375,0.839671636790082
12,ethos-religion_16_21,0.3,8,0.9375,0.839671636790082
13,ethos-religion_16_21,0.2,8,0.9375,0.8153469387755102
14,ethos-religion_16_21_best,0.5,8,0.9375,0.7919655667144907
15,ethos-religion_16_42,0.5,8,0.8745098039215686,0.9504273504273504
16,ethos-religion_16_42,0.4,8,0.9375,0.8918870939108823
17,ethos-religion_16_42,0.3,8,0.906158357771261,0.9058441558441558
18,ethos-religion_16_42,0.2,8,0.906158357771261,0.9058441558441558
19,ethos-religion_16_42_best,0.4,8,0.9375,0.8918870939108823
20,ethos-religion_16_87,0.5,8,0.9372549019607843,0.8437551020408163
21,ethos-religion_16_87,0.4,8,0.9687194525904204,0.8437551020408163
22,ethos-religion_16_87,0.3,8,0.9687194525904204,0.8197034911525586
23,ethos-religion_16_87,0.2,8,0.9372549019607843,0.8561507936507936
24,ethos-religion_16_87_best,0.4,8,0.9687194525904204,0.8437551020408163
