,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.3719165085388994,0.22993863609641113
1,anli_16_100,0.4,8,0.38086021505376344,0.3016696747983258
2,anli_16_100,0.3,8,0.4079378918088596,0.3135808366834828
3,anli_16_100,0.2,8,0.4247416629985956,0.31412078386346587
4,anli_16_100_best,0.2,8,0.4247416629985956,0.31412078386346587
5,anli_16_13,0.5,8,0.3937950937950938,0.29393054403939156
6,anli_16_13,0.4,8,0.34696784696784694,0.3140217185923557
7,anli_16_13,0.3,8,0.43099415204678354,0.2608117796377075
8,anli_16_13,0.2,8,0.3477633477633478,0.1706965569471026
9,anli_16_13_best,0.3,8,0.43099415204678354,0.2608117796377075
10,anli_16_21,0.5,8,0.44673825368017744,0.3064596932845991
11,anli_16_21,0.4,8,0.3779904306220095,0.2695725439493595
12,anli_16_21,0.3,8,0.31512605042016806,0.2825241559103054
13,anli_16_21,0.2,8,0.33270794246404006,0.2319743693240388
14,anli_16_21_best,0.5,8,0.44673825368017744,0.3064596932845991
15,anli_16_42,0.5,8,0.37295321637426904,0.27063381480745763
16,anli_16_42,0.4,8,0.4362519201228878,0.2507598279891274
17,anli_16_42,0.3,8,0.4279188244705486,0.24028584977586492
18,anli_16_42,0.2,8,0.395311560809457,0.3432017680463713
19,anli_16_42_best,0.4,8,0.4362519201228878,0.2507598279891274
20,anli_16_87,0.5,8,0.4707489138383448,0.3279118839938993
21,anli_16_87,0.4,8,0.4004273504273504,0.2603663639999846
22,anli_16_87,0.3,8,0.41005291005291006,0.10155975857460972
23,anli_16_87,0.2,8,0.41190476190476194,0.24001186428672616
24,anli_16_87_best,0.5,8,0.4707489138383448,0.3279118839938993
