,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.906158357771261,0.8551724137931034
1,ethos-race_16_100,0.4,8,0.9687194525904204,0.7082264746498323
2,ethos-race_16_100,0.3,8,0.906158357771261,0.719088319088319
3,ethos-race_16_100,0.2,8,0.906158357771261,0.5741258741258741
4,ethos-race_16_100_best,0.4,8,0.9687194525904204,0.7082264746498323
5,ethos-race_16_13,0.5,8,0.4980392156862745,0.40535639559213277
6,ethos-race_16_13,0.4,8,0.906158357771261,0.495164410058027
7,ethos-race_16_13,0.3,8,0.75,0.5972222222222222
8,ethos-race_16_13,0.2,8,0.8435972629521017,0.7306501547987616
9,ethos-race_16_13_best,0.4,8,0.906158357771261,0.495164410058027
10,ethos-race_16_21,0.5,8,0.8117647058823529,0.6608451582722594
11,ethos-race_16_21,0.4,8,0.3816425120772947,0.5240426144543622
12,ethos-race_16_21,0.3,8,0.8435972629521017,0.7306501547987616
13,ethos-race_16_21,0.2,8,0.8125,0.7943262411347518
14,ethos-race_16_21_best,0.3,8,0.8435972629521017,0.7306501547987616
15,ethos-race_16_42,0.5,8,0.8423645320197044,0.5529290853031861
16,ethos-race_16_42,0.4,8,0.5588547189819725,0.43870967741935485
17,ethos-race_16_42,0.3,8,0.7702564102564102,0.5829930765134033
18,ethos-race_16_42,0.2,8,0.8117647058823529,0.5148005148005148
19,ethos-race_16_42_best,0.5,8,0.8423645320197044,0.5529290853031861
20,ethos-race_16_87,0.5,8,0.6761133603238867,0.7521367521367521
21,ethos-race_16_87,0.4,8,0.5733333333333335,0.5247899159663866
22,ethos-race_16_87,0.3,8,0.7408906882591093,0.7198067632850242
23,ethos-race_16_87,0.2,8,0.7810361681329424,0.7374400852121428
24,ethos-race_16_87_best,0.2,8,0.7810361681329424,0.7374400852121428
