,prefix,lr,bsz,dev_performance,test_performance
0,emo_128_100,0.5,8,0.8148995653949699,0.3127711405041807
1,emo_128_100,0.4,8,0.8154638607571109,0.4550564350725388
2,emo_128_100,0.3,8,0.8174978927216487,0.4555822123990768
3,emo_128_100,0.2,8,0.7965471671884101,0.4573782148535366
4,emo_128_100_best,0.3,8,0.8174978927216487,0.4555822123990768
5,emo_128_13,0.5,8,0.784045354081179,0.36814004104005776
6,emo_128_13,0.4,8,0.7948464251045936,0.4377329166659739
7,emo_128_13,0.3,8,0.8071823418438286,0.4413150952113698
8,emo_128_13,0.2,8,0.7686378898314916,0.40897025519756713
9,emo_128_13_best,0.3,8,0.8071823418438286,0.4413150952113698
10,emo_128_21,0.5,8,0.8232159995391238,0.47634318246338175
11,emo_128_21,0.4,8,0.8112700253681595,0.4356240646668115
12,emo_128_21,0.3,8,0.7921742111445776,0.376033715745439
13,emo_128_21,0.2,8,0.8039302799929365,0.4504585720322259
14,emo_128_21_best,0.5,8,0.8232159995391238,0.47634318246338175
15,emo_128_42,0.5,8,0.869245395127748,0.20469575389575118
16,emo_128_42,0.4,8,0.8665432827623168,0.3226074392346415
17,emo_128_42,0.3,8,0.8512067404988483,0.4040057263169907
18,emo_128_42,0.2,8,0.8555123242969129,0.4500260621854815
19,emo_128_42_best,0.5,8,0.869245395127748,0.20469575389575118
20,emo_128_87,0.5,8,0.8285379524259149,0.45065167160229463
21,emo_128_87,0.4,8,0.834101382805179,0.4103351019448457
22,emo_128_87,0.3,8,0.8148205997001552,0.24165014161432305
23,emo_128_87,0.2,8,0.8047000336585286,0.49739814395888926
24,emo_128_87_best,0.4,8,0.834101382805179,0.4103351019448457
