,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_128_100,0.5,8,0.48024103821852615,0.4194290662542437
1,tab_fact_128_100,0.4,8,0.48616947876811134,0.20707384150622932
2,tab_fact_128_100,0.3,8,0.48616947876811134,0.4171343103480701
3,tab_fact_128_100,0.2,8,0.4944566248386746,0.24308809264976156
4,tab_fact_128_100_best,0.2,8,0.4944566248386746,0.24308809264976156
5,tab_fact_128_13,0.5,8,0.5145583557621727,0.3672833742260153
6,tab_fact_128_13,0.4,8,0.493322112612402,0.3313907968871648
7,tab_fact_128_13,0.3,8,0.5386119257086999,0.10995761832985293
8,tab_fact_128_13,0.2,8,0.3333333333333333,0.33047210300429186
9,tab_fact_128_13_best,0.3,8,0.5386119257086999,0.10995761832985293
10,tab_fact_128_21,0.5,8,0.5778931297709924,0.3853043888986977
11,tab_fact_128_21,0.4,8,0.5859122260880181,0.23949867670298244
12,tab_fact_128_21,0.3,8,0.5186409907281333,0.272221374758157
13,tab_fact_128_21,0.2,8,0.5484869113187698,0.4441511660161299
14,tab_fact_128_21_best,0.4,8,0.5859122260880181,0.23949867670298244
15,tab_fact_128_42,0.5,8,0.5047119765337327,0.20686719951857852
16,tab_fact_128_42,0.4,8,0.5680705030550232,0.30948532548561564
17,tab_fact_128_42,0.3,8,0.48162918308988323,0.22078093383374806
18,tab_fact_128_42,0.2,8,0.5070603337612323,0.1654140829378074
19,tab_fact_128_42_best,0.4,8,0.5680705030550232,0.30948532548561564
20,tab_fact_128_87,0.5,8,0.3741543009835693,0.33047210300429186
21,tab_fact_128_87,0.4,8,0.3708141321044547,0.16441941624365483
22,tab_fact_128_87,0.3,8,0.5192258721670487,0.2203262671203001
23,tab_fact_128_87,0.2,8,0.4348191757779647,0.33047210300429186
24,tab_fact_128_87_best,0.3,8,0.5192258721670487,0.2203262671203001
