,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.9910627007401202,0.6503113726227004
1,dbpedia_14_16_100,0.4,8,0.9910627007401202,0.5692329043286738
2,dbpedia_14_16_100,0.3,8,0.9910627007401202,0.5399280866628731
3,dbpedia_14_16_100,0.2,8,0.8478740600182726,0.44766498049286685
4,dbpedia_14_16_100_best,0.5,8,0.9910627007401202,0.6503113726227004
5,dbpedia_14_16_13,0.5,8,0.9730475841362937,0.7222666295004864
6,dbpedia_14_16_13,0.4,8,0.9103216702125622,0.6239309435130773
7,dbpedia_14_16_13,0.3,8,0.9101938742261323,0.5945963422921524
8,dbpedia_14_16_13,0.2,8,0.9100070670058567,0.6538348790807644
9,dbpedia_14_16_13_best,0.5,8,0.9730475841362937,0.7222666295004864
10,dbpedia_14_16_21,0.5,8,0.8467623211307984,0.40420556704913846
11,dbpedia_14_16_21,0.4,8,0.9060361681329423,0.5463578915556568
12,dbpedia_14_16_21,0.3,8,0.8844500507925557,0.490833918833348
13,dbpedia_14_16_21,0.2,8,0.776077648585741,0.4669094101208661
14,dbpedia_14_16_21_best,0.4,8,0.9060361681329423,0.5463578915556568
15,dbpedia_14_16_42,0.5,8,1.0,0.5451495855541265
16,dbpedia_14_16_42,0.4,8,1.0,0.4824738129606215
17,dbpedia_14_16_42,0.3,8,0.9223963775687913,0.5199229989713151
18,dbpedia_14_16_42,0.2,8,0.9180707685373,0.5215368294006367
19,dbpedia_14_16_42_best,0.5,8,1.0,0.5451495855541265
20,dbpedia_14_16_87,0.5,8,0.9865940511101802,0.5254862719657365
21,dbpedia_14_16_87,0.4,8,0.9775075059349254,0.547299650906635
22,dbpedia_14_16_87,0.3,8,0.9865940511101802,0.5191102088585087
23,dbpedia_14_16_87,0.2,8,0.9186705767350929,0.46782794641742337
24,dbpedia_14_16_87_best,0.5,8,0.9865940511101802,0.5254862719657365
