,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.7184750733137829,0.5337326607818411
1,ethos-race_16_100,0.4,8,0.7184750733137829,0.5354005167958656
2,ethos-race_16_100,0.3,8,0.7184750733137829,0.5709212862497534
3,ethos-race_16_100,0.2,8,0.6875,0.5437062937062936
4,ethos-race_16_100_best,0.5,8,0.7184750733137829,0.5337326607818411
5,ethos-race_16_13,0.5,8,0.7757757757757757,0.5260290556900726
6,ethos-race_16_13,0.4,8,0.8125,0.5166666666666666
7,ethos-race_16_13,0.3,8,0.7810361681329424,0.5251832215811633
8,ethos-race_16_13,0.2,8,0.7810361681329424,0.4733656174334141
9,ethos-race_16_13_best,0.4,8,0.8125,0.5166666666666666
10,ethos-race_16_21,0.5,8,0.8435972629521017,0.7374400852121428
11,ethos-race_16_21,0.4,8,0.8745098039215686,0.748917748917749
12,ethos-race_16_21,0.3,8,0.8435972629521017,0.7425527717498521
13,ethos-race_16_21,0.2,8,0.8435972629521017,0.7287731523931781
14,ethos-race_16_21_best,0.4,8,0.8745098039215686,0.748917748917749
15,ethos-race_16_42,0.5,8,0.6267232237539766,0.5145863223338116
16,ethos-race_16_42,0.4,8,0.7046153846153846,0.5959752321981424
17,ethos-race_16_42,0.3,8,0.7757757757757757,0.6011369888134971
18,ethos-race_16_42,0.2,8,0.7046153846153846,0.577316133355671
19,ethos-race_16_42_best,0.3,8,0.7757757757757757,0.6011369888134971
20,ethos-race_16_87,0.5,8,0.5307917888563051,0.5054098661287365
21,ethos-race_16_87,0.4,8,0.5,0.5292207792207793
22,ethos-race_16_87,0.3,8,0.5,0.5292207792207793
23,ethos-race_16_87,0.2,8,0.5307917888563051,0.4754521963824289
24,ethos-race_16_87_best,0.5,8,0.5307917888563051,0.5054098661287365
