,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.6761133603238867,0.4049537936230362
1,wiki_qa_16_100,0.4,8,0.716256157635468,0.3984689670375128
2,wiki_qa_16_100,0.3,8,0.7184750733137829,0.3868022665247029
3,wiki_qa_16_100,0.2,8,0.716256157635468,0.41266911581469007
4,wiki_qa_16_100_best,0.3,8,0.7184750733137829,0.3868022665247029
5,wiki_qa_16_13,0.5,8,0.4980392156862745,0.3346910275453969
6,wiki_qa_16_13,0.4,8,0.5607843137254902,0.32554489457474534
7,wiki_qa_16_13,0.3,8,0.5607843137254902,0.36519478964940855
8,wiki_qa_16_13,0.2,8,0.5333333333333333,0.32104123474538915
9,wiki_qa_16_13_best,0.4,8,0.5607843137254902,0.32554489457474534
10,wiki_qa_16_21,0.5,8,0.6559139784946237,0.3650125859369329
11,wiki_qa_16_21,0.4,8,0.625,0.3781834594810497
12,wiki_qa_16_21,0.3,8,0.6875,0.3154142547636569
13,wiki_qa_16_21,0.2,8,0.6190476190476191,0.3402026003031028
14,wiki_qa_16_21_best,0.3,8,0.6875,0.3154142547636569
15,wiki_qa_16_42,0.5,8,0.7810361681329424,0.418072525960625
16,wiki_qa_16_42,0.4,8,0.6862745098039216,0.37863266745391594
17,wiki_qa_16_42,0.3,8,0.746031746031746,0.3803762637342805
18,wiki_qa_16_42,0.2,8,0.7810361681329424,0.37577929873729476
19,wiki_qa_16_42_best,0.5,8,0.7810361681329424,0.418072525960625
20,wiki_qa_16_87,0.5,8,0.6761133603238867,0.37010265595809017
21,wiki_qa_16_87,0.4,8,0.5933528836754642,0.4126372177235401
22,wiki_qa_16_87,0.3,8,0.6235294117647059,0.3793089823683149
23,wiki_qa_16_87,0.2,8,0.6761133603238867,0.4242910187049122
24,wiki_qa_16_87_best,0.5,8,0.6761133603238867,0.37010265595809017
