,prefix,lr,bsz,dev_performance,test_performance
0,glue-mrpc_16_100,0.5,8,0.625,0.40441176470588236
1,glue-mrpc_16_100,0.4,8,0.75,0.6666666666666666
2,glue-mrpc_16_100,0.3,8,0.5625,0.6200980392156863
3,glue-mrpc_16_100,0.2,8,0.5,0.6838235294117647
4,glue-mrpc_16_100_best,0.4,8,0.75,0.6666666666666666
5,glue-mrpc_16_13,0.5,8,0.53125,0.6838235294117647
6,glue-mrpc_16_13,0.4,8,0.53125,0.6715686274509803
7,glue-mrpc_16_13,0.3,8,0.53125,0.6642156862745098
8,glue-mrpc_16_13,0.2,8,0.5,0.6838235294117647
9,glue-mrpc_16_13_best,0.5,8,0.53125,0.6838235294117647
10,glue-mrpc_16_21,0.5,8,0.59375,0.35784313725490197
11,glue-mrpc_16_21,0.4,8,0.53125,0.6838235294117647
12,glue-mrpc_16_21,0.3,8,0.53125,0.6838235294117647
13,glue-mrpc_16_21,0.2,8,0.5,0.6838235294117647
14,glue-mrpc_16_21_best,0.5,8,0.59375,0.35784313725490197
15,glue-mrpc_16_42,0.5,8,0.625,0.6838235294117647
16,glue-mrpc_16_42,0.4,8,0.53125,0.6838235294117647
17,glue-mrpc_16_42,0.3,8,0.59375,0.6838235294117647
18,glue-mrpc_16_42,0.2,8,0.5,0.6838235294117647
19,glue-mrpc_16_42_best,0.5,8,0.625,0.6838235294117647
20,glue-mrpc_16_87,0.5,8,0.53125,0.6838235294117647
21,glue-mrpc_16_87,0.4,8,0.5,0.6838235294117647
22,glue-mrpc_16_87,0.3,8,0.59375,0.6151960784313726
23,glue-mrpc_16_87,0.2,8,0.53125,0.6838235294117647
24,glue-mrpc_16_87_best,0.3,8,0.59375,0.6151960784313726
