,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.5,8,0.5,0.36816720257234725
1,glue-qqp_16_100,0.4,8,0.53125,0.37214939401434577
2,glue-qqp_16_100,0.3,8,0.5,0.36816720257234725
3,glue-qqp_16_100,0.2,8,0.5,0.36816720257234725
4,glue-qqp_16_100_best,0.4,8,0.53125,0.37214939401434577
5,glue-qqp_16_13,0.5,8,0.5,0.36816720257234725
6,glue-qqp_16_13,0.4,8,0.5,0.3681919366806827
7,glue-qqp_16_13,0.3,8,0.5,0.36816720257234725
8,glue-qqp_16_13,0.2,8,0.5,0.36816720257234725
9,glue-qqp_16_13_best,0.5,8,0.5,0.36816720257234725
10,glue-qqp_16_21,0.5,8,0.5,0.3681424684640119
11,glue-qqp_16_21,0.4,8,0.53125,0.3684145436557012
12,glue-qqp_16_21,0.3,8,0.5,0.36816720257234725
13,glue-qqp_16_21,0.2,8,0.5,0.3681919366806827
14,glue-qqp_16_21_best,0.4,8,0.53125,0.3684145436557012
15,glue-qqp_16_42,0.5,8,0.53125,0.37848132574820675
16,glue-qqp_16_42,0.4,8,0.5,0.36816720257234725
17,glue-qqp_16_42,0.3,8,0.5,0.36816720257234725
18,glue-qqp_16_42,0.2,8,0.5,0.36816720257234725
19,glue-qqp_16_42_best,0.5,8,0.53125,0.37848132574820675
20,glue-qqp_16_87,0.5,8,0.5625,0.5777145683898095
21,glue-qqp_16_87,0.4,8,0.53125,0.3686371506307198
22,glue-qqp_16_87,0.3,8,0.5,0.3681424684640119
23,glue-qqp_16_87,0.2,8,0.5,0.36816720257234725
24,glue-qqp_16_87_best,0.5,8,0.5625,0.5777145683898095
