,prefix,lr,bsz,dev_performance,test_performance
0,medical_questions_pairs_16_100,0.5,8,0.625,0.46885245901639344
1,medical_questions_pairs_16_100,0.4,8,0.65625,0.5163934426229508
2,medical_questions_pairs_16_100,0.3,8,0.78125,0.5180327868852459
3,medical_questions_pairs_16_100,0.2,8,0.5,0.5180327868852459
4,medical_questions_pairs_16_100_best,0.3,8,0.78125,0.5180327868852459
5,medical_questions_pairs_16_13,0.5,8,0.625,0.4819672131147541
6,medical_questions_pairs_16_13,0.4,8,0.59375,0.5311475409836065
7,medical_questions_pairs_16_13,0.3,8,0.59375,0.5163934426229508
8,medical_questions_pairs_16_13,0.2,8,0.65625,0.5163934426229508
9,medical_questions_pairs_16_13_best,0.2,8,0.65625,0.5163934426229508
10,medical_questions_pairs_16_21,0.5,8,0.5,0.5180327868852459
11,medical_questions_pairs_16_21,0.4,8,0.59375,0.4672131147540984
12,medical_questions_pairs_16_21,0.3,8,0.53125,0.5098360655737705
13,medical_questions_pairs_16_21,0.2,8,0.5,0.5163934426229508
14,medical_questions_pairs_16_21_best,0.4,8,0.59375,0.4672131147540984
15,medical_questions_pairs_16_42,0.5,8,0.59375,0.4721311475409836
16,medical_questions_pairs_16_42,0.4,8,0.625,0.519672131147541
17,medical_questions_pairs_16_42,0.3,8,0.625,0.5163934426229508
18,medical_questions_pairs_16_42,0.2,8,0.65625,0.5163934426229508
19,medical_questions_pairs_16_42_best,0.2,8,0.65625,0.5163934426229508
20,medical_questions_pairs_16_87,0.5,8,0.625,0.5163934426229508
21,medical_questions_pairs_16_87,0.4,8,0.5625,0.5163934426229508
22,medical_questions_pairs_16_87,0.3,8,0.5,0.5163934426229508
23,medical_questions_pairs_16_87,0.2,8,0.5625,0.5147540983606558
24,medical_questions_pairs_16_87_best,0.5,8,0.625,0.5163934426229508
