,prefix,lr,bsz,dev_performance,test_performance
0,paws_16_100,0.5,8,0.4385964912280702,0.30720031767172695
1,paws_16_100,0.4,8,0.4181818181818182,0.32822601543635
2,paws_16_100,0.3,8,0.4458874458874459,0.30764093090767447
3,paws_16_100,0.2,8,0.5333333333333333,0.3072185365356206
4,paws_16_100_best,0.2,8,0.5333333333333333,0.3072185365356206
5,paws_16_13,0.5,8,0.3992490613266583,0.3066389322239556
6,paws_16_13,0.4,8,0.5901477832512315,0.3068294234908704
7,paws_16_13,0.3,8,0.5307917888563051,0.3066389322239556
8,paws_16_13,0.2,8,0.5835835835835835,0.3065187239944522
9,paws_16_13_best,0.4,8,0.5901477832512315,0.3068294234908704
10,paws_16_21,0.5,8,0.3992490613266583,0.30694971710417795
11,paws_16_21,0.4,8,0.3992490613266583,0.30739057476854853
12,paws_16_21,0.3,8,0.4385964912280702,0.30669902071236677
13,paws_16_21,0.2,8,0.3992490613266583,0.30669902071236677
14,paws_16_21_best,0.3,8,0.4385964912280702,0.30669902071236677
15,paws_16_42,0.5,8,0.3992490613266583,0.30669902071236677
16,paws_16_42,0.4,8,0.3333333333333333,0.30669902071236677
17,paws_16_42,0.3,8,0.3992490613266583,0.30694971710417795
18,paws_16_42,0.2,8,0.43529411764705883,0.3085883010907182
19,paws_16_42_best,0.2,8,0.43529411764705883,0.3085883010907182
20,paws_16_87,0.5,8,0.49090909090909085,0.42897322967659557
21,paws_16_87,0.4,8,0.49090909090909085,0.3083992491058873
22,paws_16_87,0.3,8,0.4458874458874459,0.30827047656450984
23,paws_16_87,0.2,8,0.4285714285714286,0.3066389322239556
24,paws_16_87_best,0.5,8,0.49090909090909085,0.42897322967659557
