,prefix,lr,bsz,dev_performance,test_performance
0,glue-mrpc_16_100,0.0005,8,0.75,0.5514705882352942
1,glue-mrpc_16_100,0.0003,8,0.59375,0.6519607843137255
2,glue-mrpc_16_100,0.0002,8,0.6875,0.4534313725490196
3,glue-mrpc_16_100,0.0001,8,0.625,0.48284313725490197
4,glue-mrpc_16_100_best,0.0005,8,0.75,0.5514705882352942
5,glue-mrpc_16_13,0.0005,8,0.59375,0.4632352941176471
6,glue-mrpc_16_13,0.0003,8,0.5625,0.4485294117647059
7,glue-mrpc_16_13,0.0002,8,0.5625,0.6593137254901961
8,glue-mrpc_16_13,0.0001,8,0.53125,0.5245098039215687
9,glue-mrpc_16_13_best,0.0005,8,0.59375,0.4632352941176471
10,glue-mrpc_16_21,0.0005,8,0.65625,0.6078431372549019
11,glue-mrpc_16_21,0.0003,8,0.625,0.6568627450980392
12,glue-mrpc_16_21,0.0002,8,0.6875,0.5441176470588235
13,glue-mrpc_16_21,0.0001,8,0.65625,0.375
14,glue-mrpc_16_21_best,0.0002,8,0.6875,0.5441176470588235
15,glue-mrpc_16_42,0.0005,8,0.78125,0.6421568627450981
16,glue-mrpc_16_42,0.0003,8,0.78125,0.6078431372549019
17,glue-mrpc_16_42,0.0002,8,0.6875,0.49754901960784315
18,glue-mrpc_16_42,0.0001,8,0.5,0.6838235294117647
19,glue-mrpc_16_42_best,0.0005,8,0.78125,0.6421568627450981
20,glue-mrpc_16_87,0.0005,8,0.53125,0.6740196078431373
21,glue-mrpc_16_87,0.0003,8,0.5625,0.6176470588235294
22,glue-mrpc_16_87,0.0002,8,0.5,0.6838235294117647
23,glue-mrpc_16_87,0.0001,8,0.5,0.6838235294117647
24,glue-mrpc_16_87_best,0.0003,8,0.5625,0.6176470588235294
