,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.0005,8,0.625,0.47999010635666584
1,glue-qqp_16_100,0.0003,8,0.59375,0.46688102893890676
2,glue-qqp_16_100,0.0002,8,0.59375,0.609967845659164
3,glue-qqp_16_100,0.0001,8,0.5625,0.4643828839970319
4,glue-qqp_16_100_best,0.0005,8,0.625,0.47999010635666584
5,glue-qqp_16_13,0.0005,8,0.6875,0.5745238684145436
6,glue-qqp_16_13,0.0003,8,0.6875,0.5505565174375464
7,glue-qqp_16_13,0.0002,8,0.625,0.641132822161761
8,glue-qqp_16_13,0.0001,8,0.5625,0.6261192184021765
9,glue-qqp_16_13_best,0.0005,8,0.6875,0.5745238684145436
10,glue-qqp_16_21,0.0005,8,0.53125,0.6305218896858769
11,glue-qqp_16_21,0.0003,8,0.5625,0.5499876329458323
12,glue-qqp_16_21,0.0002,8,0.65625,0.6352213702696018
13,glue-qqp_16_21,0.0001,8,0.5625,0.6241899579520158
14,glue-qqp_16_21_best,0.0002,8,0.65625,0.6352213702696018
15,glue-qqp_16_42,0.0005,8,0.59375,0.488152362107346
16,glue-qqp_16_42,0.0003,8,0.59375,0.4591145189215929
17,glue-qqp_16_42,0.0002,8,0.59375,0.45545387088795447
18,glue-qqp_16_42,0.0001,8,0.5625,0.45199109572099927
19,glue-qqp_16_42_best,0.0005,8,0.59375,0.488152362107346
20,glue-qqp_16_87,0.0005,8,0.6875,0.4084095968340341
21,glue-qqp_16_87,0.0003,8,0.71875,0.6156814246846402
22,glue-qqp_16_87,0.0002,8,0.5625,0.5760821172396735
23,glue-qqp_16_87,0.0001,8,0.53125,0.40442740539203564
24,glue-qqp_16_87_best,0.0003,8,0.71875,0.6156814246846402
