,prefix,lr,bsz,dev_performance,test_performance
0,medical_questions_pairs_16_100,0.0005,8,0.5625,0.5475409836065573
1,medical_questions_pairs_16_100,0.0003,8,0.59375,0.5295081967213114
2,medical_questions_pairs_16_100,0.0002,8,0.59375,0.5557377049180328
3,medical_questions_pairs_16_100,0.0001,8,0.59375,0.5442622950819672
4,medical_questions_pairs_16_100_best,0.0003,8,0.59375,0.5295081967213114
5,medical_questions_pairs_16_13,0.0005,8,0.5625,0.5606557377049181
6,medical_questions_pairs_16_13,0.0003,8,0.59375,0.5409836065573771
7,medical_questions_pairs_16_13,0.0002,8,0.59375,0.4934426229508197
8,medical_questions_pairs_16_13,0.0001,8,0.53125,0.5393442622950819
9,medical_questions_pairs_16_13_best,0.0003,8,0.59375,0.5409836065573771
10,medical_questions_pairs_16_21,0.0005,8,0.5,0.48360655737704916
11,medical_questions_pairs_16_21,0.0003,8,0.625,0.5819672131147541
12,medical_questions_pairs_16_21,0.0002,8,0.59375,0.5442622950819672
13,medical_questions_pairs_16_21,0.0001,8,0.59375,0.5475409836065573
14,medical_questions_pairs_16_21_best,0.0003,8,0.625,0.5819672131147541
15,medical_questions_pairs_16_42,0.0005,8,0.53125,0.5245901639344263
16,medical_questions_pairs_16_42,0.0003,8,0.53125,0.5163934426229508
17,medical_questions_pairs_16_42,0.0002,8,0.5625,0.5475409836065573
18,medical_questions_pairs_16_42,0.0001,8,0.5625,0.5295081967213114
19,medical_questions_pairs_16_42_best,0.0002,8,0.5625,0.5475409836065573
20,medical_questions_pairs_16_87,0.0005,8,0.5625,0.49836065573770494
21,medical_questions_pairs_16_87,0.0003,8,0.59375,0.5393442622950819
22,medical_questions_pairs_16_87,0.0002,8,0.5,0.48360655737704916
23,medical_questions_pairs_16_87,0.0001,8,0.59375,0.5245901639344263
24,medical_questions_pairs_16_87_best,0.0003,8,0.59375,0.5393442622950819
