,prefix,lr,bsz,dev_performance,test_performance
0,paws_16_100,0.0005,8,0.5076923076923077,0.46229017965944685
1,paws_16_100,0.0003,8,0.46843853820598,0.4500660469126676
2,paws_16_100,0.0002,8,0.4682306940371457,0.4974788327502479
3,paws_16_100,0.0001,8,0.4920634920634921,0.5201521714015664
4,paws_16_100_best,0.0005,8,0.5076923076923077,0.46229017965944685
5,paws_16_13,0.0005,8,0.6875,0.09033191360243632
6,paws_16_13,0.0003,8,0.4181818181818182,0.4040976231912496
7,paws_16_13,0.0002,8,0.5933528836754642,0.48062281959358544
8,paws_16_13,0.0001,8,0.5901477832512315,0.499737493437336
9,paws_16_13_best,0.0005,8,0.6875,0.09033191360243632
10,paws_16_21,0.0005,8,0.5333333333333333,0.46851376745822937
11,paws_16_21,0.0003,8,0.5151515151515151,0.4709934995299648
12,paws_16_21,0.0002,8,0.5270935960591133,0.4797438873306056
13,paws_16_21,0.0001,8,0.3816425120772947,0.34403874656089367
14,paws_16_21_best,0.0005,8,0.5333333333333333,0.46851376745822937
15,paws_16_42,0.0005,8,0.5733333333333335,0.47480251691372055
16,paws_16_42,0.0003,8,0.4980392156862745,0.5129683411450097
17,paws_16_42,0.0002,8,0.5307917888563051,0.5129098200691231
18,paws_16_42,0.0001,8,0.5333333333333333,0.48225621076699576
19,paws_16_42_best,0.0005,8,0.5733333333333335,0.47480251691372055
20,paws_16_87,0.0005,8,0.5270935960591133,0.4960101252214757
21,paws_16_87,0.0003,8,0.4980392156862745,0.508974710935986
22,paws_16_87,0.0002,8,0.5307917888563051,0.49024843888584413
23,paws_16_87,0.0001,8,0.3333333333333333,0.21071556614054676
24,paws_16_87_best,0.0002,8,0.5307917888563051,0.49024843888584413
