,prefix,lr,bsz,dev_performance,test_performance
0,glue-mrpc_16_100,0.5,8,0.5,0.6838235294117647
1,glue-mrpc_16_100,0.4,8,0.53125,0.6838235294117647
2,glue-mrpc_16_100,0.3,8,0.53125,0.6838235294117647
3,glue-mrpc_16_100,0.2,8,0.625,0.6813725490196079
4,glue-mrpc_16_100_best,0.2,8,0.625,0.6813725490196079
5,glue-mrpc_16_13,0.5,8,0.53125,0.6838235294117647
6,glue-mrpc_16_13,0.4,8,0.625,0.6838235294117647
7,glue-mrpc_16_13,0.3,8,0.625,0.6838235294117647
8,glue-mrpc_16_13,0.2,8,0.53125,0.6838235294117647
9,glue-mrpc_16_13_best,0.4,8,0.625,0.6838235294117647
10,glue-mrpc_16_21,0.5,8,0.5625,0.6617647058823529
11,glue-mrpc_16_21,0.4,8,0.53125,0.6813725490196079
12,glue-mrpc_16_21,0.3,8,0.59375,0.6838235294117647
13,glue-mrpc_16_21,0.2,8,0.59375,0.6838235294117647
14,glue-mrpc_16_21_best,0.3,8,0.59375,0.6838235294117647
15,glue-mrpc_16_42,0.5,8,0.53125,0.6838235294117647
16,glue-mrpc_16_42,0.4,8,0.5,0.6838235294117647
17,glue-mrpc_16_42,0.3,8,0.53125,0.6813725490196079
18,glue-mrpc_16_42,0.2,8,0.5,0.6838235294117647
19,glue-mrpc_16_42_best,0.5,8,0.53125,0.6838235294117647
20,glue-mrpc_16_87,0.5,8,0.53125,0.6838235294117647
21,glue-mrpc_16_87,0.4,8,0.5,0.6838235294117647
22,glue-mrpc_16_87,0.3,8,0.5625,0.6838235294117647
23,glue-mrpc_16_87,0.2,8,0.53125,0.6838235294117647
24,glue-mrpc_16_87_best,0.3,8,0.5625,0.6838235294117647
