,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.5,8,0.53125,0.37041800643086814
1,glue-qqp_16_100,0.4,8,0.5,0.36816720257234725
2,glue-qqp_16_100,0.3,8,0.5,0.36816720257234725
3,glue-qqp_16_100,0.2,8,0.5,0.36816720257234725
4,glue-qqp_16_100_best,0.5,8,0.53125,0.37041800643086814
5,glue-qqp_16_13,0.5,8,0.5,0.36816720257234725
6,glue-qqp_16_13,0.4,8,0.5,0.36816720257234725
7,glue-qqp_16_13,0.3,8,0.5,0.36816720257234725
8,glue-qqp_16_13,0.2,8,0.5,0.36816720257234725
9,glue-qqp_16_13_best,0.5,8,0.5,0.36816720257234725
10,glue-qqp_16_21,0.5,8,0.53125,0.36816720257234725
11,glue-qqp_16_21,0.4,8,0.53125,0.36856294830571357
12,glue-qqp_16_21,0.3,8,0.5,0.36816720257234725
13,glue-qqp_16_21,0.2,8,0.5,0.36816720257234725
14,glue-qqp_16_21_best,0.5,8,0.53125,0.36816720257234725
15,glue-qqp_16_42,0.5,8,0.5,0.36816720257234725
16,glue-qqp_16_42,0.4,8,0.5,0.36816720257234725
17,glue-qqp_16_42,0.3,8,0.5,0.36816720257234725
18,glue-qqp_16_42,0.2,8,0.5,0.3689092258224091
19,glue-qqp_16_42_best,0.5,8,0.5,0.36816720257234725
20,glue-qqp_16_87,0.5,8,0.5,0.36816720257234725
21,glue-qqp_16_87,0.4,8,0.5,0.3681919366806827
22,glue-qqp_16_87,0.3,8,0.5,0.36816720257234725
23,glue-qqp_16_87,0.2,8,0.5,0.36816720257234725
24,glue-qqp_16_87_best,0.5,8,0.5,0.36816720257234725
