,prefix,lr,bsz,dev_performance,test_performance
0,medical_questions_pairs_16_100,0.5,8,0.6875,0.5508196721311476
1,medical_questions_pairs_16_100,0.4,8,0.59375,0.4885245901639344
2,medical_questions_pairs_16_100,0.3,8,0.6875,0.5163934426229508
3,medical_questions_pairs_16_100,0.2,8,0.71875,0.49836065573770494
4,medical_questions_pairs_16_100_best,0.2,8,0.71875,0.49836065573770494
5,medical_questions_pairs_16_13,0.5,8,0.59375,0.45901639344262296
6,medical_questions_pairs_16_13,0.4,8,0.59375,0.4852459016393443
7,medical_questions_pairs_16_13,0.3,8,0.65625,0.4901639344262295
8,medical_questions_pairs_16_13,0.2,8,0.65625,0.5081967213114754
9,medical_questions_pairs_16_13_best,0.3,8,0.65625,0.4901639344262295
10,medical_questions_pairs_16_21,0.5,8,0.65625,0.4967213114754098
11,medical_questions_pairs_16_21,0.4,8,0.5625,0.5229508196721312
12,medical_questions_pairs_16_21,0.3,8,0.65625,0.48688524590163934
13,medical_questions_pairs_16_21,0.2,8,0.65625,0.48688524590163934
14,medical_questions_pairs_16_21_best,0.5,8,0.65625,0.4967213114754098
15,medical_questions_pairs_16_42,0.5,8,0.625,0.5131147540983606
16,medical_questions_pairs_16_42,0.4,8,0.6875,0.5147540983606558
17,medical_questions_pairs_16_42,0.3,8,0.5625,0.5163934426229508
18,medical_questions_pairs_16_42,0.2,8,0.5625,0.5163934426229508
19,medical_questions_pairs_16_42_best,0.4,8,0.6875,0.5147540983606558
20,medical_questions_pairs_16_87,0.5,8,0.625,0.5163934426229508
21,medical_questions_pairs_16_87,0.4,8,0.625,0.4967213114754098
22,medical_questions_pairs_16_87,0.3,8,0.5625,0.5163934426229508
23,medical_questions_pairs_16_87,0.2,8,0.71875,0.46885245901639344
24,medical_questions_pairs_16_87_best,0.2,8,0.71875,0.46885245901639344
