,prefix,lr,bsz,dev_performance,test_performance
0,paws_16_100,0.5,8,0.5933528836754642,0.3454412997631778
1,paws_16_100,0.4,8,0.5607843137254902,0.44498182537485376
2,paws_16_100,0.3,8,0.5333333333333333,0.3074599667985192
3,paws_16_100,0.2,8,0.5933528836754642,0.4803558891895293
4,paws_16_100_best,0.5,8,0.5933528836754642,0.3454412997631778
5,paws_16_13,0.5,8,0.5835835835835835,0.46524707844830115
6,paws_16_13,0.4,8,0.5844155844155844,0.4135401820846797
7,paws_16_13,0.3,8,0.5636363636363637,0.30939735150628206
8,paws_16_13,0.2,8,0.5195195195195195,0.39702498797852503
9,paws_16_13_best,0.4,8,0.5844155844155844,0.4135401820846797
10,paws_16_21,0.5,8,0.6532019704433498,0.49348215762895953
11,paws_16_21,0.4,8,0.5333333333333333,0.3075972342735259
12,paws_16_21,0.3,8,0.5333333333333333,0.3550067745515185
