,prefix,lr,bsz,dev_performance,test_performance
0,glue-mrpc_16_100,0.5,8,0.78125,0.6372549019607843
1,glue-mrpc_16_100,0.4,8,0.8125,0.5857843137254902
2,glue-mrpc_16_100,0.3,8,0.78125,0.6200980392156863
3,glue-mrpc_16_100,0.2,8,0.6875,0.6274509803921569
4,glue-mrpc_16_100_best,0.4,8,0.8125,0.5857843137254902
5,glue-mrpc_16_13,0.5,8,0.65625,0.5367647058823529
6,glue-mrpc_16_13,0.4,8,0.625,0.6593137254901961
7,glue-mrpc_16_13,0.3,8,0.65625,0.5588235294117647
8,glue-mrpc_16_13,0.2,8,0.5625,0.6200980392156863
9,glue-mrpc_16_13_best,0.5,8,0.65625,0.5367647058823529
10,glue-mrpc_16_21,0.5,8,0.65625,0.553921568627451
11,glue-mrpc_16_21,0.4,8,0.65625,0.5661764705882353
12,glue-mrpc_16_21,0.3,8,0.75,0.5612745098039216
13,glue-mrpc_16_21,0.2,8,0.6875,0.5833333333333334
14,glue-mrpc_16_21_best,0.3,8,0.75,0.5612745098039216
15,glue-mrpc_16_42,0.5,8,0.53125,0.42892156862745096
16,glue-mrpc_16_42,0.4,8,0.5625,0.4877450980392157
17,glue-mrpc_16_42,0.3,8,0.65625,0.5073529411764706
18,glue-mrpc_16_42,0.2,8,0.5625,0.4534313725490196
19,glue-mrpc_16_42_best,0.3,8,0.65625,0.5073529411764706
20,glue-mrpc_16_87,0.5,8,0.59375,0.5220588235294118
21,glue-mrpc_16_87,0.4,8,0.625,0.5196078431372549
22,glue-mrpc_16_87,0.3,8,0.5625,0.5612745098039216
23,glue-mrpc_16_87,0.2,8,0.59375,0.5637254901960784
24,glue-mrpc_16_87_best,0.4,8,0.625,0.5196078431372549
